#libraryId	max_intergenic	cutoffTPM	cutoffGenicTPM	cutoffFPKM	cutoffGenicFPKM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	ratioIntergenicCodingPresent	species	organism
SRX081869	69.8674978	2	2.06230476817001	1.93180426678372	2.29931318094861	66.2964694879589	11342	17108	70.1379932937839	10877	15508	16.6387295985884	1886	11335	0	9031	Gallus gallus
SRX081870	69.8674978	2	2.06167894259058	2.04647450996995	2.47315036265531	66.2555529576806	11335	17108	70.2282692803714	10891	15508	16.7093074547861	1894	11335	0	9031	Gallus gallus
SRX081871	69.8674978	2	2.05810734403059	1.96524810598104	2.33793237434004	64.4727612812719	11030	17108	67.713438225432	10501	15508	16.682840758712	1891	11335	0	9031	Gallus gallus
SRX081872	69.8674978	2	2.07075153804553	1.83692415242752	2.21497284465637	66.7757774140753	11424	17108	70.2476141346402	10894	15508	18.9942655491839	2153	11335	0	9031	Gallus gallus
SRX081873	69.8674978	2	2.01867380851482	3.8012048003178	4.31929055287795	42.5181201776946	7274	17108	44.3126128449832	6872	15508	6.60785178650199	749	11335	0	9031	Gallus gallus
SRX081874	69.8674978	2	2.01890007385803	3.88421410187324	4.40877440430547	41.2730886135141	7061	17108	43.0100593242198	6670	15508	6.62549625055139	751	11335	0	9031	Gallus gallus
SRX081875	69.8674978	2	2.03397991710224	3.08594252384353	3.62487229713713	57.1136310498013	9771	17108	59.994841372195	9304	15508	9.96029995588884	1129	11335	0	9031	Gallus gallus
SRX081876	69.8674978	2	2.03250454788133	2.60799035955069	2.91732799521926	58.5690904839841	10020	17108	61.63915398504	9559	15508	11.8041464490516	1338	11335	0	9031	Gallus gallus
SRX081877	69.8674978	2	2.02456011798058	2.5260246108382	2.8276833851953	48.8894084638765	8364	17108	51.2961052360072	7955	15508	7.22540802823114	819	11335	0	9031	Gallus gallus
SRX081878	69.8674978	2	2.02418750021895	2.13492160044415	2.28972866785619	48.439326630816	8287	17108	50.9930358524632	7908	15508	8.2223202470225	932	11335	0	9031	Gallus gallus
SRX081879	69.8674978	2	2.06127634490436	1.6201682049898	1.92927421166713	73.2172083235913	12526	17108	76.3476915140573	11840	15508	24.8610498456109	2818	11335	0	9031	Gallus gallus
SRX081880	69.8674978	2	2.04134354883192	2.2741186861685	2.73900592497608	66.3140051437924	11345	17108	69.1900954346144	10730	15508	16.8416409351566	1909	11335	0	9031	Gallus gallus
SRX191155	69.8674978	2	2.08660309258027	1.99649679181623	3.71948502728434	59.8082768295534	10232	17108	62.6321898375032	9713	15508	12.73930304367	1444	11335	0	9031	Gallus gallus
SRX191156	69.8674978	2	2.04820073971784	2.74834115406987	4.59814319688553	40.2267944821136	6882	17108	41.8106783595564	6484	15508	5.15218350242611	584	11335	0	9031	Gallus gallus
SRX191157	69.8674978	2	2.05046567587662	2.79501885829179	4.43279751507246	49.4096329202712	8453	17108	51.3863812225948	7969	15508	8.20467578297309	930	11335	0	9031	Gallus gallus
SRX191158	69.8674978	2	2.04713403531412	2.69690320291433	4.23261207920217	44.1080196399345	7546	17108	45.9891668816095	7132	15508	6.73136303484782	763	11335	0	9031	Gallus gallus
SRX191159	69.8674978	2	2.05222024561937	2.69024765560784	4.82698935599432	31.6986205284078	5423	17108	33.0990456538561	5133	15508	4.04940449933833	459	11335	0	9031	Gallus gallus
SRX196371	69.8674978	2	2.09377507417527	1.40889450246269	1.71212775216392	69.1255552957681	11826	17108	72.2143409852979	11199	15508	19.497132774592	2210	11335	0	9031	Gallus gallus
SRX196372	69.8674978	2	2.06641836774029	1.82148305629073	2.1655836985117	67.7519289221417	11591	17108	71.8016507608976	11135	15508	17.6621085134539	2002	11335	0	9031	Gallus gallus
SRX196373	69.8674978	2	2.0356758344496	3.37221477240836	4.20526665646639	40.8346972176759	6986	17108	42.9584730461697	6662	15508	7.64005293339215	866	11335	0	9031	Gallus gallus
SRX196374	69.8674978	2	2.04625205577893	2.15087999701529	2.48351986528664	62.1054477437456	10625	17108	65.1276760381738	10100	15508	13.7362152624614	1557	11335	0	9031	Gallus gallus
SRX196375	69.8674978	2	2.03944352300884	1.6149692435777	1.76726735152388	56.540799625906	9673	17108	59.4467371679133	9219	15508	11.3101014556683	1282	11335	0	9031	Gallus gallus
SRX196376	69.8674978	2	2.08198672408773	1.61989400539311	1.93415475377299	69.2599953238251	11849	17108	72.7302037657983	11279	15508	18.9060432289369	2143	11335	0	9031	Gallus gallus
SRX196377	69.8674978	2	2.04288166228065	1.54997948197781	1.7190988085051	49.7252747252747	8507	17108	53.4175909208151	8284	15508	11.4159682399647	1294	11335	0	9031	Gallus gallus
SRX196378	69.8674978	2	2.08645508948871	1.54380012858252	1.83330015948593	67.3193827449147	11517	17108	70.7376837761156	10970	15508	19.2942214380238	2187	11335	0	9031	Gallus gallus
SRX196379	69.8674978	2	2.07308866840228	1.38444729666497	1.668977381647	74.7720364741641	12792	17108	77.0376579829765	11947	15508	27.2783414203794	3092	11335	0	9031	Gallus gallus
SRX196380	69.8674978	2	2.14665517923598	0.937793948451085	1.12584523508653	64.0869768529343	10964	17108	70.318545266959	10905	15508	21.4556682840759	2432	11335	0	9031	Gallus gallus
SRX196381	69.8674978	2	2.11607665516079	0.953465294960771	1.09220241110862	67.5356558335282	11554	17108	74.0456538560743	11483	15508	21.4468460520512	2431	11335	0	9031	Gallus gallus
SRX196382	69.8674978	2	2.0376031661901	1.49821201971092	1.63459408337031	44.9789572129998	7695	17108	49.3809646633995	7658	15508	10.9572121746802	1242	11335	0	9031	Gallus gallus
SRX196383	69.8674978	2	2.07504492615137	1.20637422555391	1.34921977618215	60.9539396773439	10428	17108	66.9202992004127	10378	15508	17.6179973533304	1997	11335	0	9031	Gallus gallus
SRX196384	69.8674978	2	2.04676748329049	0.987234186789572	1.05516111568972	52.5368248772504	8988	17108	57.6218725818932	8936	15508	13.6479929422144	1547	11335	0	9031	Gallus gallus
SRX196385	69.8674978	2	2.12484970393254	1.05802154838414	1.21852123920305	60.4337152209493	10339	17108	66.346401857106	10289	15508	18.932509925011	2146	11335	0	9031	Gallus gallus
