#libraryId	max_intergenic	cutoffTPM	cutoffGenicTPM	cutoffFPKM	cutoffGenicFPKM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	ratioIntergenicCodingPresent	species	organism
SRX081869	126826.2814	50.8435	52.4273962402259	49.1098451191089	58.4525648577804	9.229600187047	1579	17108	9.61439257157596	1491	15508	0.485222761358624	55	11335	0.05	9031	Gallus gallus
SRX081870	126826.2814	69.26118	71.3971581724879	70.8706197002204	85.6466562174674	6.04980126256722	1035	17108	6.14521537271086	953	15508	0.308778120864579	35	11335	0.05	9031	Gallus gallus
SRX081871	126826.2814	53.0397	54.5806980475897	52.1180849834012	62.0016158776417	7.62216506897358	1304	17108	7.7959762703121	1209	15508	0.397000441111601	45	11335	0.05	9031	Gallus gallus
SRX081872	126826.2814	58.4237	60.4904833166552	53.6599528020899	64.7034544921751	8.10731821370119	1387	17108	8.22801134898117	1276	15508	0.414644905161006	47	11335	0.05	9031	Gallus gallus
SRX081873	126826.2814	11.9413	12.052794774809	22.6956634410175	25.7889721395408	10.8721066167875	1860	17108	11.1684291978334	1732	15508	0.564622849580944	64	11335	0.05	9031	Gallus gallus
SRX081874	126826.2814	19.8106	19.9978109015859	38.474305943285	43.670233106967	7.65723638064064	1310	17108	7.63476915140573	1184	15508	0.388178209086899	44	11335	0.05	9031	Gallus gallus
SRX081875	126826.2814	12.8801	13.0989323651343	19.8736241506785	23.344358837178	21.1947626841244	3626	17108	22.0789270054166	3424	15508	1.11160123511248	126	11335	0.05	9031	Gallus gallus
SRX081876	126826.2814	17.9325	18.223943902441	23.3838935613214	26.1574921371347	17.4479775543605	2985	17108	17.9842661851947	2789	15508	0.899867666519629	102	11335	0.05	9031	Gallus gallus
SRX081877	126826.2814	11.2253	11.3631473461837	14.177692032021	15.8707971519164	18.494271685761	3164	17108	19.1320608718081	2967	15508	0.961623290692545	109	11335	0.05	9031	Gallus gallus
SRX081878	126826.2814	16.4801	16.6794062111792	17.5918607337398	18.8674787095684	15.5015197568389	2652	17108	16.0820221820996	2494	15508	0.811645346272607	92	11335	0.05	9031	Gallus gallus
SRX081879	126826.2814	26.4984	27.3102625489069	21.4659325815509	25.5613398852201	25.6079027355623	4381	17108	26.5411400567449	4116	15508	1.33215703573004	151	11335	0.05	9031	Gallus gallus
SRX081880	126826.2814	14.4868	14.7862678616092	16.4723512913929	19.8397155169718	30.0444236614449	5140	17108	31.4676296105236	4880	15508	1.5791795324217	179	11335	0.05	9031	Gallus gallus
SRX191155	126826.2814	227.595	237.450215427903	227.196343666707	423.26809739239	0.929389759176993	159	17108	0.78669074026309	122	15508	0.0441111601235112	5	11335	0.05	9031	Gallus gallus
SRX191156	126826.2814	7.98774	8.18024748833687	10.976517285005	18.3643861697452	15.5015197568389	2652	17108	15.9272633479494	2470	15508	0.802823114247905	91	11335	0.05	9031	Gallus gallus
SRX191157	126826.2814	12.0351	12.3387797278714	16.8191657307138	26.6745806868243	16.2146364274024	2774	17108	16.6365746711375	2580	15508	0.838112042346714	95	11335	0.05	9031	Gallus gallus
SRX191158	126826.2814	16.2528	16.6358300245767	21.916114188163	34.3958988004285	7.76829553425298	1329	17108	7.81532112458086	1212	15508	0.397000441111601	45	11335	0.05	9031	Gallus gallus
SRX191159	126826.2814	10.0927	10.3562216364813	13.5759312568766	24.3586777366219	10.1472995090016	1736	17108	10.4784627289141	1625	15508	0.529333921482135	60	11335	0.05	9031	Gallus gallus
SRX196371	126826.2814	98.2762	102.884128972332	69.2303989514618	84.1307046986058	6.00888473228899	1028	17108	6.39025019344854	991	15508	0.326422584913983	37	11335	0.05	9031	Gallus gallus
SRX196372	126826.2814	28.3507	29.2922036091473	25.8201598419907	30.6979068806978	20.1660042085574	3450	17108	21.5759607944287	3346	15508	1.08513453903838	123	11335	0.05	9031	Gallus gallus
SRX196373	126826.2814	16.746	17.0447137618465	28.2355542893752	35.2106977145931	10.7961187748422	1847	17108	11.2071189063709	1738	15508	0.564622849580944	64	11335	0.05	9031	Gallus gallus
SRX196374	126826.2814	24.1865	24.7458376735485	26.0111295239052	30.0338266108777	16.9043722235212	2892	17108	17.8553004900696	2769	15508	0.899867666519629	102	11335	0.05	9031	Gallus gallus
SRX196375	126826.2814	20.3688	20.7705086157312	16.4474927642927	17.9985576148598	18.3189151274258	3134	17108	19.4351302553521	3014	15508	0.97926775474195	111	11335	0.05	9031	Gallus gallus
SRX196376	126826.2814	44.5377	46.3634500607011	36.0731766219984	43.0714020885576	15.0046761748889	2567	17108	15.9272633479494	2470	15508	0.802823114247905	91	11335	0.05	9031	Gallus gallus
SRX196377	126826.2814	48.7773	49.8231258527809	37.8019070931381	41.926499156048	8.45803133037175	1447	17108	8.89863296363167	1380	15508	0.449933833259815	51	11335	0.05	9031	Gallus gallus
SRX196378	126826.2814	39.9574	41.6846602963682	30.8431196289116	36.6269538963215	18.1669394435352	3108	17108	19.2739231364457	2989	15508	0.970445522717247	110	11335	0.05	9031	Gallus gallus
SRX196379	126826.2814	28.6593	29.7066350371708	19.8386452046552	23.915861736918	27.2153378536357	4656	17108	29.1397988135156	4519	15508	1.46449051610057	166	11335	0.05	9031	Gallus gallus
