X.libraryId	max_intergenic	cutoffTPM	cutoffGenicTPM	cutoffFPKM	cutoffGenicFPKM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	ratioIntergenicCodingPresent	species	organism
ERX016335	9.87366753	0.224699	0.22836822114123	0.22047287718431	0.246721729489194	45.8341598889109	13863	30246	61.3010728144259	13428	21905	16.1613827525649	3497	21638	0.05	9544	Macaca mulatta
ERX016343	9.87366753	0.709312	0.728921639863085	0.72288201293801	0.967188849284022	42.4287509092111	12833	30246	56.7906870577494	12440	21905	11.7986874942231	2553	21638	0.05	9544	Macaca mulatta
ERX1403306	9.87366753	0.0990358	0.100190176252062	0.248508236767051	0.281731517903987	55.7263770415923	16855	30246	65.350376626341	14315	21905	18.1948424068768	3937	21638	0.05	9544	Macaca mulatta
ERX1403307	9.87366753	0.0717916	0.0724675489865343	0.208186164804703	0.23348407489116	54.4105005620578	16457	30246	64.8390778361105	14203	21905	18.157870413162	3929	21638	0.05	9544	Macaca mulatta
ERX1403308	9.87366753	0.137109	0.137795106223692	0.28976435030949	0.318248843326207	54.4501752297825	16469	30246	64.0036521342159	14020	21905	16.9054441260745	3658	21638	0.05	9544	Macaca mulatta
ERX1403309	9.87366753	0.158189	0.160080458317893	0.370665220174487	0.426639862631599	53.8054618792568	16274	30246	62.5108422734535	13693	21905	16.1382752564932	3492	21638	0.05	9544	Macaca mulatta
SRX080237	9.87366753	0.328304	0.333497003094186	0.365845526154001	0.413514248939336	31.9612510745223	9667	30246	43.1636612645515	9455	21905	13.0834642758111	2831	21638	0.05	9544	Macaca mulatta
SRX080238	9.87366753	0.420553	0.423632191115383	0.649032886192575	0.74179394550317	22.4723930437083	6797	30246	30.3309746633189	6644	21905	6.83519733801645	1479	21638	0.05	9544	Macaca mulatta
SRX080239	9.87366753	0.281275	0.283960453231737	0.347842153723314	0.380952280151408	32.8373999867751	9932	30246	44.4373430723579	9734	21905	12.0297624549404	2603	21638	0.05	9544	Macaca mulatta
SRX080240	9.87366753	0.23305	0.234378250701393	0.356077822850305	0.385943194339345	27.6201811809826	8354	30246	37.457201552157	8205	21905	9.23837692947592	1999	21638	0.05	9544	Macaca mulatta
SRX080241	9.87366753	0.436681	0.440635305774996	0.698627765760423	0.807511815217245	31.7496528466574	9603	30246	42.9445332115955	9407	21905	9.99168130141418	2162	21638	0.05	9544	Macaca mulatta
ERX221778	9.87366753	0.0500938	0.0505036359647989	0.051089357024592	0.0544340883442944	48.9585399722277	14808	30246	63.6703948870121	13947	21905	18.4906183565949	4001	21638	0.05	9544	Macaca mulatta
ERX221779	9.87366753	0.0452038	0.045570195600788	0.0465987589528938	0.04962779292155	49.6429279904781	15015	30246	64.108650992924	14043	21905	19.1422497458175	4142	21638	0.05	9544	Macaca mulatta
ERX221780	9.87366753	0.0417163	0.0420565822018295	0.0404016169068942	0.0426024327112921	49.7553395490313	15049	30246	63.7023510614015	13954	21905	18.8557167945281	4080	21638	0.05	9544	Macaca mulatta
ERX221781	9.87366753	0.0399446	0.040265762125345	0.0390575971828196	0.041166253312276	50.0033062223104	15124	30246	63.6293083770829	13938	21905	19.1561142434606	4145	21638	0.05	9544	Macaca mulatta
