#libraryId	max_intergenic	cutoffTPM	cutoffGenicTPM	cutoffFPKM	cutoffGenicFPKM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	ratioIntergenicCodingPresent	species	organism
SRX081869	69.8674978	63.1372	65.1040743044517	60.9843561763884	72.5860980840944	7.33574935702595	1255	17108	7.60897601238071	1180	15508	0.379355977062197	43	11335	0.05	9031	Gallus gallus
SRX081870	69.8674978	70.0256	72.1851524811354	71.652802722676	86.5919190175779	5.99134907645546	1025	17108	6.08073252514831	943	15508	0.299955888839877	34	11335	0.05	9031	Gallus gallus
SRX081871	69.8674978	54.97154	56.5686650933358	54.0163574339304	64.2598715166643	7.33574935702595	1255	17108	7.49290688676812	1162	15508	0.370533745037494	42	11335	0.05	9031	Gallus gallus
SRX081872	69.8674978	58.937	61.0219416988946	54.1313993858105	65.2719272727562	8.03717559036708	1375	17108	8.15708021666237	1265	15508	0.405822673136303	46	11335	0.05	9031	Gallus gallus
SRX081873	69.8674978	11.9915	12.1034634874027	22.7910736815055	25.897386332418	10.8253448678981	1852	17108	11.1168429197833	1724	15508	0.555800617556242	63	11335	0.05	9031	Gallus gallus
SRX081874	69.8674978	23.4924	23.7144040475512	45.6247556834235	51.786345907853	6.59340659340659	1128	17108	6.52566417332989	1012	15508	0.317600352889281	36	11335	0.05	9031	Gallus gallus
SRX081875	69.8674978	12.8832	13.1020850340058	19.8784073615905	23.3499773892386	21.1889174655132	3625	17108	22.0724787206603	3423	15508	1.10277900308778	125	11335	0.05	9031	Gallus gallus
SRX081876	69.8674978	18.0726	18.36632084602	23.5665832860079	26.3618509631998	17.3544540565817	2969	17108	17.8875419138509	2774	15508	0.891045434494927	101	11335	0.05	9031	Gallus gallus
SRX081877	69.8674978	11.2276	11.3654755903194	14.1805969603235	15.8740489878093	18.4884264671499	3163	17108	19.1256125870518	2966	15508	0.952801058667843	108	11335	0.05	9031	Gallus gallus
SRX081878	69.8674978	17.1646	17.3721843831291	18.3225376514918	19.6511383461422	15.0748187982231	2579	17108	15.6177456796492	2422	15508	0.767534186149096	87	11335	0.05	9031	Gallus gallus
SRX081879	69.8674978	27.5275	28.3708922921774	22.2995901314284	26.5540479308334	24.8538695347206	4252	17108	25.7866907402631	3999	15508	1.28804587560653	146	11335	0.05	9031	Gallus gallus
SRX081880	69.8674978	14.516803	14.816891076857	16.5064664828634	19.8808047143553	29.980126256722	5129	17108	31.4160433324736	4872	15508	1.570357300397	178	11335	0.05	9031	Gallus gallus
SRX191155	69.8674978	62.3854	65.0867842859285	62.276125478086	116.020780610572	3.68248772504092	630	17108	3.61103946350271	560	15508	0.194089104543449	22	11335	0.0537488184510681	9031	Gallus gallus
SRX191156	69.8674978	8.01416	8.20730422010855	11.0128228716503	18.4251276413761	15.472293663783	2647	17108	15.8950219241682	2465	15508	0.794000882223202	90	11335	0.05	9031	Gallus gallus
SRX191157	69.8674978	12.1746	12.4817997087638	17.0141182960796	26.9837683135006	16.0918868365677	2753	17108	16.5140572607686	2561	15508	0.820467578297309	93	11335	0.05	9031	Gallus gallus
SRX191158	69.8674978	16.9956	17.3961356052923	22.9177440377254	35.9678909266442	7.38835632452654	1264	17108	7.42197575444932	1151	15508	0.370533745037494	42	11335	0.05	9031	Gallus gallus
SRX191159	69.8674978	10.1352	10.3998313167007	13.6330990195583	24.4612512604368	10.1005377601122	1728	17108	10.4333247356203	1618	15508	0.520511689457433	59	11335	0.05	9031	Gallus gallus
SRX196371	69.8674978	102.078	106.864186010832	71.9085665111931	87.3852883426942	5.76338555061959	986	17108	6.11942223368584	949	15508	0.299955888839877	34	11335	0.05	9031	Gallus gallus
SRX196372	69.8674978	28.3584	29.3001593198631	25.8271725517575	30.706244377937	20.1601589899462	3449	17108	21.5695125096724	3345	15508	1.07631230701367	122	11335	0.05	9031	Gallus gallus
SRX196373	69.8674978	16.8182	17.1182016594701	28.3572912426591	35.3625078408915	10.7610474631751	1841	17108	11.1748774825896	1733	15508	0.555800617556242	63	11335	0.05	9031	Gallus gallus
SRX196374	69.8674978	24.6484	25.2184195858307	26.5078752592158	30.6073955237656	16.5945756371288	2839	17108	17.5135413979881	2716	15508	0.864578738420821	98	11335	0.05	9031	Gallus gallus
SRX196375	69.8674978	21.7901	22.2198391553575	17.5951706572412	19.2544661582202	17.4772036474164	2990	17108	18.5452669589889	2876	15508	0.926334362593736	105	11335	0.05	9031	Gallus gallus
SRX196376	69.8674978	44.6442	46.4743158537588	36.1594359777855	43.174395829196	14.9812953004442	2563	17108	15.9014702089244	2466	15508	0.7851786501985	89	11335	0.05	9031	Gallus gallus
SRX196377	69.8674978	48.8626	49.9102547556772	37.8680137180445	41.9998187202307	8.45218611176058	1446	17108	8.89218467887542	1379	15508	0.441111601235113	50	11335	0.05	9031	Gallus gallus
SRX196378	69.8674978	40.0008	41.7299363718101	30.8766200917018	36.6667365097823	18.1435585690905	3104	17108	19.2481299974207	2985	15508	0.961623290692545	109	11335	0.05	9031	Gallus gallus
SRX196379	69.8674978	28.6945	29.7431213977346	19.8630114770765	23.945235738835	27.191956979191	4652	17108	29.1140056744906	4515	15508	1.45566828407587	165	11335	0.05	9031	Gallus gallus
SRX196380	69.8674978	1133.33	1216.43435714176	531.415007799034	637.977090140306	0.409165302782324	70	17108	0.432035078669074	67	15508	0.0176444640494045	2	11335	0.05	9031	Gallus gallus
SRX196381	69.8674978	74.7698	79.1093141455206	35.6452047055789	40.8318779190545	11.520925882628	1971	17108	12.6450864070157	1961	15508	0.62637847375386	71	11335	0.05	9031	Gallus gallus
SRX196382	69.8674978	48.3828	49.2924732345711	36.2438462536347	39.5431193084445	5.72831423895254	980	17108	6.26128449832345	971	15508	0.308778120864579	35	11335	0.05	9031	Gallus gallus
SRX196383	69.8674978	51.1279	53.0463447398873	30.839690383349	34.4913868973318	11.953472059855	2045	17108	13.1351560484911	2037	15508	0.652845169827966	74	11335	0.05	9031	Gallus gallus
SRX196384	69.8674978	58.6603	60.0319973000326	28.9557267836662	30.9480337973467	7.8618190320318	1345	17108	8.62135671911272	1337	15508	0.423467137185708	48	11335	0.05	9031	Gallus gallus
SRX196385	69.8674978	172.038	182.777446682573	91.0099555704554	104.815978475007	5.00935234977788	857	17108	5.48749032757287	851	15508	0.27348919276577	31	11335	0.05	9031	Gallus gallus
SRX196386	69.8674978	77.3511	79.0460523646309	49.5958640714728	53.8003892477283	5.04442366144494	863	17108	5.51328346659789	855	15508	0.27348919276577	31	11335	0.05	9031	Gallus gallus
SRX196387	69.8674978	201.879	217.368964547586	89.6926981456521	105.709978878934	3.46036941781623	592	17108	3.75935001289657	583	15508	0.185266872518747	21	11335	0.05	9031	Gallus gallus
SRX196388	69.8674978	41.5756	43.3409450898059	18.5174727198297	20.9652545742577	22.808043020809	3902	17108	25.1160691256126	3895	15508	1.25275694750772	142	11335	0.05	9031	Gallus gallus
SRX196390	69.8674978	73.5576	77.4505948391918	33.7523777045972	38.0567993616891	12.8127191956979	2192	17108	14.0959504771731	2186	15508	0.688134097926775	78	11335	0.05	9031	Gallus gallus
SRX196391	69.8674978	89.4877	91.6820738657822	62.8439566929444	69.9185951454697	3.89291559504325	666	17108	4.24297136961568	658	15508	0.211733568592854	24	11335	0.05	9031	Gallus gallus
SRX196392	69.8674978	30.872	31.7282558647503	19.9351215791099	22.1225311785754	17.1089548749123	2927	17108	18.7709569254578	2911	15508	0.935156594618438	106	11335	0.05	9031	Gallus gallus
SRX196394	69.8674978	110.198	117.980401731229	46.4572725698726	53.7385794346938	9.32896890343699	1596	17108	10.272117616714	1593	15508	0.51168945743273	58	11335	0.05	9031	Gallus gallus
SRX196396	69.8674978	192.919	206.000473435659	87.134513343276	100.555319310223	3.89291559504325	666	17108	4.26231622388445	661	15508	0.211733568592854	24	11335	0.05	9031	Gallus gallus
SRX196397	69.8674978	46.2515	48.528368828614	20.5830266875009	23.7655399030856	22.6852934299743	3881	17108	24.9677585762187	3872	15508	1.24393471548302	141	11335	0.05	9031	Gallus gallus
SRX217701	69.8674978	42.5288	43.9134657344583	31.7233626435271	36.379448303072	16.0918868365677	2753	17108	17.1717823059066	2663	15508	0.855756506396118	97	11335	0.05	9031	Gallus gallus
SRX217702	69.8674978	26.6189	27.634034197611	16.5870204432597	18.8771343528813	32.4234276361936	5547	17108	34.4596337374258	5344	15508	1.72033524481694	195	11335	0.05	9031	Gallus gallus
SRX217703	69.8674978	16.9648	17.4261866287972	10.9078967590466	12.5131195362097	37.5555295768062	6425	17108	39.9987103430487	6203	15508	1.99382443758271	226	11335	0.05	9031	Gallus gallus
SRX328086	69.8674978	57.7941	61.2823497043483	38.4533287810848	46.6041550508436	15.1975683890577	2600	17108	15.6757802424555	2431	15508	0.776356418173798	88	11335	0.05	9031	Gallus gallus
SRX081881	2.60231081	21.0584	21.3318560619883	30.9897281660431	36.4539648775959	15.9710522285189	4171	26116	17.573048207208	3813	21698	0.872041288485496	98	11238	0.05	9258	Ornithorhynchus anatinus
SRX081882	2.60231081	10.693	10.7840624754302	26.6613904520101	32.6999198094368	19.1491805789554	5001	26116	21.0526315789474	4568	21698	1.05000889838049	118	11238	0.05	9258	Ornithorhynchus anatinus
SRX081883	2.60231081	13.6713	13.8220942736369	26.3721369198097	31.9286584563778	20.8569459335273	5447	26116	23.0251636095493	4996	21698	1.14789108382274	129	11238	0.05	9258	Ornithorhynchus anatinus
SRX081884	2.60231081	21.188	21.4691401699035	34.6781536321935	41.434064823236	16.8976872415378	4413	26116	18.4164439118813	3996	21698	0.916533190959245	103	11238	0.05	9258	Ornithorhynchus anatinus
SRX081885	2.60231081	8.34776	8.40420642085746	16.8784260201177	19.0814620592607	18.3412467452902	4790	26116	19.9972347681814	4339	21698	0.996618615411995	112	11238	0.05	9258	Ornithorhynchus anatinus
SRX081886	2.60231081	13.4365	13.5299871742481	23.0717240545379	25.4011990766435	13.5319344463164	3534	26116	14.6096414416075	3170	21698	0.729667200569496	82	11238	0.05	9258	Ornithorhynchus anatinus
SRX081887	2.60231081	10.5804	10.6806174570041	15.0292740418469	16.635193698746	25.8232501148721	6744	26116	28.9104986634713	6273	21698	1.44153764014949	162	11238	0.05	9258	Ornithorhynchus anatinus
SRX081888	2.60231081	16.5594	16.7297503665785	25.2628476734378	28.4594166614227	18.2187164956349	4758	26116	19.6654069499493	4267	21698	0.978821854422495	110	11238	0.05	9258	Ornithorhynchus anatinus
SRX081889	2.60231081	17.713	17.8629616874129	25.4141819596635	27.9688605218456	12.6474192066166	3303	26116	13.6510277444926	2962	21698	0.676276917600997	76	11238	0.05	9258	Ornithorhynchus anatinus
SRX081890	2.60231081	8.485445	8.53944623152418	16.752848537695	18.5807732653574	16.6985755858478	4361	26116	17.8127016314868	3865	21698	0.880939668980246	99	11238	0.05	9258	Ornithorhynchus anatinus
SRX081891	2.60231081	5.70207	5.74884362763108	9.5628698980827	10.7618601374958	41.0284882830449	10715	26116	45.9489353857498	9970	21698	2.29578216764549	258	11238	0.05	9258	Ornithorhynchus anatinus
