id	call
ENSMUSG00000000001	present
ENSMUSG00000000049	present
ENSMUSG00000000056	present
ENSMUSG00000000058	present
ENSMUSG00000000078	present
ENSMUSG00000000088	present
ENSMUSG00000000127	present
ENSMUSG00000000131	present
ENSMUSG00000000134	present
ENSMUSG00000000148	present
ENSMUSG00000000149	present
ENSMUSG00000000154	present
ENSMUSG00000000159	present
ENSMUSG00000000168	present
ENSMUSG00000000171	present
ENSMUSG00000000184	present
ENSMUSG00000000194	present
ENSMUSG00000000275	present
ENSMUSG00000000278	present
ENSMUSG00000000282	present
ENSMUSG00000000290	present
ENSMUSG00000000296	present
ENSMUSG00000000301	present
ENSMUSG00000000303	present
ENSMUSG00000000339	present
ENSMUSG00000000340	present
ENSMUSG00000000346	present
ENSMUSG00000000355	present
ENSMUSG00000000374	present
ENSMUSG00000000378	present
ENSMUSG00000000384	present
ENSMUSG00000000399	present
ENSMUSG00000000420	present
ENSMUSG00000000439	present
ENSMUSG00000000440	present
ENSMUSG00000000441	present
ENSMUSG00000000532	present
ENSMUSG00000000538	present
ENSMUSG00000000552	present
ENSMUSG00000000555	present
ENSMUSG00000000561	present
ENSMUSG00000000563	present
ENSMUSG00000000567	present
ENSMUSG00000000568	present
ENSMUSG00000000581	present
ENSMUSG00000000594	present
ENSMUSG00000000600	present
ENSMUSG00000000605	present
ENSMUSG00000000631	present
ENSMUSG00000000673	present
ENSMUSG00000000682	present
ENSMUSG00000000686	present
ENSMUSG00000000708	present
ENSMUSG00000000711	present
ENSMUSG00000000753	present
ENSMUSG00000000776	present
ENSMUSG00000000787	present
ENSMUSG00000000804	present
ENSMUSG00000000811	present
ENSMUSG00000000826	present
ENSMUSG00000000827	present
ENSMUSG00000000838	present
ENSMUSG00000000876	present
ENSMUSG00000000902	present
ENSMUSG00000000915	present
ENSMUSG00000000916	present
ENSMUSG00000000934	present
ENSMUSG00000000948	present
ENSMUSG00000000957	present
ENSMUSG00000000959	present
ENSMUSG00000000976	present
ENSMUSG00000001016	present
ENSMUSG00000001017	present
ENSMUSG00000001018	present
ENSMUSG00000001025	present
ENSMUSG00000001029	present
ENSMUSG00000001036	present
ENSMUSG00000001052	present
ENSMUSG00000001054	present
ENSMUSG00000001056	present
ENSMUSG00000001089	present
ENSMUSG00000001098	present
ENSMUSG00000001100	present
ENSMUSG00000001105	present
ENSMUSG00000001119	present
ENSMUSG00000001123	present
ENSMUSG00000001127	present
ENSMUSG00000001128	present
ENSMUSG00000001134	present
ENSMUSG00000001138	present
ENSMUSG00000001143	present
ENSMUSG00000001150	present
ENSMUSG00000001155	present
ENSMUSG00000001156	present
ENSMUSG00000001157	present
ENSMUSG00000001158	present
ENSMUSG00000001175	present
ENSMUSG00000001211	present
ENSMUSG00000001229	present
ENSMUSG00000001240	present
ENSMUSG00000001247	present
ENSMUSG00000001248	present
ENSMUSG00000001249	present
ENSMUSG00000001270	present
ENSMUSG00000001280	present
ENSMUSG00000001285	present
ENSMUSG00000001289	present
ENSMUSG00000001305	present
ENSMUSG00000001323	present
ENSMUSG00000001348	present
ENSMUSG00000001366	present
ENSMUSG00000001376	present
ENSMUSG00000001380	present
ENSMUSG00000001383	present
ENSMUSG00000001415	present
ENSMUSG00000001416	present
ENSMUSG00000001418	present
ENSMUSG00000001419	present
ENSMUSG00000001424	present
ENSMUSG00000001435	present
ENSMUSG00000001440	present
ENSMUSG00000001441	present
ENSMUSG00000001445	present
ENSMUSG00000001467	present
ENSMUSG00000001473	present
ENSMUSG00000001506	present
ENSMUSG00000001507	present
ENSMUSG00000001518	present
ENSMUSG00000001524	present
ENSMUSG00000001525	present
ENSMUSG00000001542	present
ENSMUSG00000001552	present
ENSMUSG00000001569	present
ENSMUSG00000001576	present
ENSMUSG00000001604	present
ENSMUSG00000001630	present
ENSMUSG00000001642	present
ENSMUSG00000001663	present
ENSMUSG00000001665	present
ENSMUSG00000001666	present
ENSMUSG00000001670	present
ENSMUSG00000001674	present
ENSMUSG00000001687	present
ENSMUSG00000001700	present
ENSMUSG00000001707	present
ENSMUSG00000001729	present
ENSMUSG00000001750	present
ENSMUSG00000001751	present
ENSMUSG00000001755	present
ENSMUSG00000001763	present
ENSMUSG00000001767	present
ENSMUSG00000001768	present
ENSMUSG00000001774	present
ENSMUSG00000001783	present
ENSMUSG00000001785	present
ENSMUSG00000001786	present
ENSMUSG00000001794	present
ENSMUSG00000001829	present
ENSMUSG00000001833	present
ENSMUSG00000001847	present
ENSMUSG00000001855	present
ENSMUSG00000001891	present
ENSMUSG00000001909	present
ENSMUSG00000001910	present
ENSMUSG00000001911	present
ENSMUSG00000001924	present
ENSMUSG00000001942	present
