id	minimum_pValue	call
FBgn0000003	5.82868736070961e-31	present
FBgn0000008	0.00558713099645448	present
FBgn0000014	6.24735239591082e-06	present
FBgn0000015	0.0196210866251193	absent
FBgn0000017	3.31657958392273e-05	present
FBgn0000018	3.10737404170277e-05	present
FBgn0000022	0.215256480992435	absent
FBgn0000024	0.0430631251360451	absent
FBgn0000028	2.45622663996653e-06	present
FBgn0000032	1.74926310570761e-07	present
FBgn0000036	0.0458282362058841	absent
FBgn0000037	0.198744925035141	absent
FBgn0000038	0.00121087871609602	present
FBgn0000039	0.671078007311503	absent
FBgn0000042	5.57164506201623e-16	present
FBgn0000043	1.25445027765287e-13	present
FBgn0000044	1.49604447810296e-08	present
FBgn0000045	0.000915066686775522	present
FBgn0000046	4.02033014983991e-17	present
FBgn0000047	0.0121365497674882	absent
FBgn0000052	5.43974344404608e-05	present
FBgn0000053	0.00148178386657266	present
FBgn0000055	4.56114117107983e-12	present
FBgn0000056	0.00106442599230797	present
FBgn0000057	5.18754414316993e-08	present
FBgn0000061	0.778400321565808	absent
FBgn0000063	9.82990803244074e-06	present
FBgn0000064	2.00984694647982e-13	present
FBgn0000071	0.0507518580809512	absent
FBgn0000075	0.00360365847740469	present
FBgn0000077	0.00873140150398866	present
FBgn0000078	2.68926447259414e-07	present
FBgn0000079	1.51551305175384e-11	present
FBgn0000083	4.28697017898122e-08	present
FBgn0000084	4.27566761683141e-07	present
FBgn0000092	0.239698731108639	absent
FBgn0000094	2.88462651876061e-16	present
FBgn0000097	0.00343008997768264	present
FBgn0000100	6.80062504395666e-12	present
FBgn0000108	0.033897529839609	absent
FBgn0000109	0.00012800120242954	present
FBgn0000114	1.72223917146436e-13	present
FBgn0000115	5.29861259615878e-10	present
FBgn0000116	1.95396412384882e-11	present
FBgn0000117	6.69901129607988e-08	present
FBgn0000119	0.000139454952554529	present
FBgn0000120	2.2243851343636e-05	present
FBgn0000121	4.72013980737493e-05	present
FBgn0000137	0.434119492583728	absent
FBgn0000139	2.17246806183148e-05	present
