id	minimum_qValue	call
FBgn0000003	1.76762570166894e-08	present
FBgn0000008	0.00783906849603523	absent
FBgn0000014	0.00118641452941067	absent
FBgn0000015	0.0129239229832613	absent
FBgn0000017	0.00190157222224618	absent
FBgn0000018	0.00233549409902085	absent
FBgn0000022	0.162028360084624	absent
FBgn0000024	0.017691440061842	absent
FBgn0000028	0.000337781787593141	absent
FBgn0000032	7.09246191737558e-05	present
FBgn0000036	0.00904572700106539	absent
FBgn0000037	0.0359665125015924	absent
FBgn0000038	0.00511984373027201	absent
FBgn0000039	0.316638229830877	absent
FBgn0000042	1.76762570166894e-08	present
FBgn0000043	1.76762570166894e-08	present
FBgn0000044	3.17768918783304e-05	present
FBgn0000045	0.00208912133606833	absent
FBgn0000046	1.76762570166894e-08	present
FBgn0000047	0.0244571918502912	absent
FBgn0000052	0.000426899016097805	absent
FBgn0000053	0.00202003288202982	absent
FBgn0000055	1.76762570166894e-08	present
FBgn0000056	0.00820944592650846	absent
FBgn0000057	1.01331746306582e-05	present
FBgn0000061	0.262727135584986	absent
FBgn0000063	0.00135270035771406	absent
FBgn0000064	1.76762570166894e-08	present
FBgn0000071	0.0187158367638168	absent
FBgn0000075	0.00451720613136227	absent
FBgn0000077	0.00195431320364301	absent
FBgn0000078	3.40304877881847e-06	present
FBgn0000079	1.76762570166894e-08	present
FBgn0000083	1.76762570166894e-08	present
FBgn0000084	1.76762570166894e-08	present
FBgn0000092	0.0766600273974953	absent
FBgn0000094	1.76762570166894e-08	present
FBgn0000097	0.00746171427441142	absent
FBgn0000100	1.76762570166894e-08	present
FBgn0000108	0.0160338586425628	absent
FBgn0000109	0.00118289990634226	absent
FBgn0000114	1.76762570166894e-08	present
FBgn0000115	1.76762570166894e-08	present
FBgn0000116	1.76762570166894e-08	present
FBgn0000117	1.17051709117585e-05	present
FBgn0000119	0.000413239845831838	absent
FBgn0000120	0.000309429275404447	absent
FBgn0000121	0.000362732857984707	absent
FBgn0000137	0.270380422572844	absent
FBgn0000139	0.000700863512526798	absent
FBgn0000140	0.0011870396837793	absent
FBgn0000146	0.00228544162614821	absent
FBgn0000147	1.52127392092527e-05	present
FBgn0000150	1.76762570166894e-08	present
FBgn0000152	0.00931111618182018	absent
FBgn0000153	0.0114648654652887	absent
FBgn0000157	0.0803220853208193	absent
FBgn0000158	0.00672817635719612	absent
FBgn0000163	0.0035145229785938	absent
FBgn0000166	0.0669422445080527	absent
FBgn0000173	1.11721254742887e-05	present
FBgn0000179	0.0102789710578363	absent
FBgn0000180	0.00910143738134173	absent
FBgn0000181	1.76762570166894e-08	present
FBgn0000182	1.76762570166894e-08	present
FBgn0000183	0.000538329238749197	absent
FBgn0000206	0.0090987321199991	absent
FBgn0000212	0.00528269309002134	absent
FBgn0000216	0.0597577601893737	absent
FBgn0000221	9.47882879845888e-05	present
FBgn0000227	0.122570353564485	absent
FBgn0000228	0.00364197346709089	absent
FBgn0000229	0.00113965443391053	absent
FBgn0000233	0.0766798249321184	absent
FBgn0000239	3.73544083396244e-05	present
FBgn0000241	0.0446356341828892	absent
FBgn0000244	0.00225533680653285	absent
FBgn0000246	0.00691200469855995	absent
FBgn0000247	0.00131103864235579	absent
FBgn0000250	0.000305447977190796	absent
FBgn0000251	0.000208907621536991	absent
FBgn0000253	1.76762570166894e-08	present
FBgn0000256	3.21444374133523e-07	present
FBgn0000257	0.00184835822796448	absent
FBgn0000259	6.82719644890844e-06	present
FBgn0000261	1.76762570166894e-08	present
FBgn0000273	0.00358779886365186	absent
FBgn0000274	5.92240699209015e-06	present
FBgn0000276	1.76762570166894e-08	present
FBgn0000277	0.0199413921720431	absent
FBgn0000278	0.0279619629169068	absent
FBgn0000279	0.0169681663068827	absent
FBgn0000280	1	absent
FBgn0000281	0.0298919873873544	absent
FBgn0000283	0.00134655050111914	absent
FBgn0000286	0.00210371075310975	absent
FBgn0000287	5.17547472087629e-05	present
FBgn0000289	0.000308734836196246	absent
FBgn0000299	0.0024293517976362	absent
FBgn0000303	0.0774133387334811	absent
FBgn0000307	0.00777562064151867	absent
FBgn0000308	1.76762570166894e-08	present
FBgn0000316	0.00189019453676853	absent
FBgn0000317	0.0190498827582945	absent
FBgn0000318	1.76762570166894e-08	present
FBgn0000319	0.000407388549567575	absent
FBgn0000320	0.000225502436412095	absent
FBgn0000326	0.00465933892059348	absent
FBgn0000330	0.00362233042372187	absent
FBgn0000337	0.0197085039887548	absent
FBgn0000339	1.92522767544304e-05	present
FBgn0000346	0.00128427293907646	absent
FBgn0000351	0.0271329029520372	absent
FBgn0000352	0.00382352513083176	absent
FBgn0000355	0.011089844517716	absent
FBgn0000356	1	absent
FBgn0000357	0.00653893396383909	absent
FBgn0000358	0.20096564074771	absent
FBgn0000359	0.00908804606904166	absent
FBgn0000360	0.000537687622889566	absent
FBgn0000370	1.76762570166894e-08	present
FBgn0000376	0.0118999882566718	absent
FBgn0000377	0.00127064404396213	absent
FBgn0000382	0.00110807941600054	absent
FBgn0000384	0.00253411777906649	absent
FBgn0000392	1.76762570166894e-08	present
FBgn0000394	0.000404093168005612	absent
FBgn0000395	0.00687043498716633	absent
FBgn0000404	1.68841218377382e-05	present
FBgn0000405	1.76762570166894e-08	present
FBgn0000406	0.000208111304453108	absent
FBgn0000411	0.00154179228613883	absent
FBgn0000412	1.76762570166894e-08	present
FBgn0000414	0.0144533888310955	absent
FBgn0000416	1.76762570166894e-08	present
FBgn0000422	0.000451982028022704	absent
FBgn0000426	1.60599741826525e-05	present
FBgn0000427	0.0102721910187436	absent
FBgn0000439	0.0488571745909662	absent
FBgn0000442	0.00418770245951374	absent
FBgn0000447	1.76762570166894e-08	present
FBgn0000448	0.0156393913018254	absent
