id	minimum_pValue	call
ENSG00000000003	2.06017294530178e-14	present
ENSG00000000005	0.000701830912693921	present
ENSG00000000419	1.89494529898382e-17	present
ENSG00000000457	3.70614353079971e-11	present
ENSG00000000460	1.27847255625462e-08	present
ENSG00000000938	1.16235053103698e-19	present
ENSG00000000971	1.93176407897571e-28	present
ENSG00000001036	4.40641014691132e-17	present
ENSG00000001084	8.28913786210011e-21	present
ENSG00000001167	5.27177741680015e-13	present
ENSG00000001460	6.78188463548163e-11	present
ENSG00000001461	8.28571213731507e-14	present
ENSG00000001497	8.83546052958179e-14	present
ENSG00000001561	3.69403979166337e-15	present
ENSG00000001617	4.87887265656407e-16	present
ENSG00000001626	4.6229525276641e-14	present
ENSG00000001629	1.81602776029355e-23	present
ENSG00000001630	6.91598620606937e-20	present
ENSG00000001631	1.42829608945716e-18	present
ENSG00000002016	5.01460642925652e-13	present
ENSG00000002079	0.012152363939756	absent
ENSG00000002330	1.93180143031981e-18	present
ENSG00000002549	9.04255323746862e-24	present
ENSG00000002586	1.65199692865651e-28	present
ENSG00000002587	1.51756030298035e-06	present
ENSG00000002726	9.95175338353948e-06	present
ENSG00000002745	0.0124479185913613	absent
ENSG00000002746	0.00145218593747165	present
ENSG00000002822	6.18143921527092e-13	present
ENSG00000002834	1.74199059293978e-20	present
ENSG00000002919	1.13012632008405e-13	present
ENSG00000002933	1.21985333596583e-19	present
ENSG00000003056	4.82975120324663e-23	present
ENSG00000003096	3.57106283489294e-07	present
ENSG00000003137	6.04818035673218e-09	present
ENSG00000003147	1.57775528775055e-14	present
ENSG00000003249	2.74963020425428e-09	present
ENSG00000003393	9.34850917495569e-13	present
ENSG00000003400	5.23038750501613e-14	present
ENSG00000003402	2.69142037667753e-32	present
ENSG00000003436	4.83879843522353e-27	present
ENSG00000003509	1.81493471937066e-12	present
ENSG00000003756	4.59897067158376e-28	present
ENSG00000003987	1.12214026227817e-08	present
ENSG00000003989	2.78822202464802e-12	present
ENSG00000004059	4.03504537741302e-22	present
ENSG00000004139	3.84794241929854e-12	present
ENSG00000004142	1.88444345131624e-17	present
ENSG00000004399	4.37427671531219e-26	present
ENSG00000004455	1.47010308924783e-21	present
ENSG00000004468	1.51559671453574e-12	present
ENSG00000004478	2.96545290275341e-20	present
ENSG00000004487	1.99413225850612e-15	present
ENSG00000004534	6.70982611595345e-24	present
ENSG00000004660	1.04013555806338e-09	present
ENSG00000004700	3.75173056054543e-16	present
ENSG00000004766	5.18604149959267e-20	present
ENSG00000004776	1.20529648103051e-17	present
ENSG00000004777	3.7393940025937e-15	present
ENSG00000004779	1.15569464154055e-18	present
ENSG00000004799	5.01613172106475e-33	present
