id	minimum_qValue	call
ENSG00000000003	3.22646415883658e-11	present
ENSG00000000005	0.00301379546244524	absent
ENSG00000000419	3.22646415883658e-11	present
ENSG00000000457	3.22646415883658e-11	present
ENSG00000000460	1.01250004310783e-09	present
ENSG00000000938	3.53953942126559e-11	present
ENSG00000000971	3.22646415883658e-11	present
ENSG00000001036	3.22646415883658e-11	present
ENSG00000001084	3.22646415883658e-11	present
ENSG00000001167	3.22646415883658e-11	present
ENSG00000001460	1.31214089614916e-09	present
ENSG00000001461	9.20114191420608e-11	present
ENSG00000001497	3.22646415883658e-11	present
ENSG00000001561	3.22646415883658e-11	present
ENSG00000001617	3.22646415883658e-11	present
ENSG00000001626	3.22646415883658e-11	present
ENSG00000001629	3.22646415883658e-11	present
ENSG00000001630	3.22646415883658e-11	present
ENSG00000001631	3.22646415883658e-11	present
ENSG00000002016	3.22646415883658e-11	present
ENSG00000002079	0.00634275278678874	absent
ENSG00000002330	3.22646415883658e-11	present
ENSG00000002549	3.22646415883658e-11	present
ENSG00000002586	3.22646415883658e-11	present
ENSG00000002587	6.15476504902941e-05	absent
ENSG00000002726	0.000792197112132619	absent
ENSG00000002745	0.00800104194841922	absent
ENSG00000002746	0.00288754643121452	absent
ENSG00000002822	3.53953942126559e-11	present
ENSG00000002834	3.22646415883658e-11	present
ENSG00000002919	9.20114191420608e-11	present
ENSG00000002933	3.53953942126559e-11	present
ENSG00000003056	3.22646415883658e-11	present
ENSG00000003096	9.86293373990783e-06	present
ENSG00000003137	1.31214089614916e-09	present
ENSG00000003147	3.22646415883658e-11	present
ENSG00000003249	2.31192123093493e-07	present
ENSG00000003393	3.22646415883658e-11	present
ENSG00000003400	3.22646415883658e-11	present
ENSG00000003402	3.22646415883658e-11	present
ENSG00000003436	3.22646415883658e-11	present
ENSG00000003509	3.22646415883658e-11	present
ENSG00000003756	3.22646415883658e-11	present
ENSG00000003987	4.50329683624285e-05	absent
ENSG00000003989	3.22646415883658e-11	present
ENSG00000004059	3.22646415883658e-11	present
ENSG00000004139	1.31214089614916e-09	present
ENSG00000004142	3.22646415883658e-11	present
ENSG00000004399	3.22646415883658e-11	present
ENSG00000004455	3.22646415883658e-11	present
ENSG00000004468	1.80073273381693e-09	present
ENSG00000004478	3.22646415883658e-11	present
ENSG00000004487	3.22646415883658e-11	present
ENSG00000004534	3.22646415883658e-11	present
ENSG00000004660	1.31214089614916e-09	present
ENSG00000004700	3.22646415883658e-11	present
ENSG00000004766	3.22646415883658e-11	present
ENSG00000004776	3.53953942126559e-11	present
ENSG00000004777	3.53953942126559e-11	present
ENSG00000004779	3.22646415883658e-11	present
ENSG00000004799	3.22646415883658e-11	present
ENSG00000004809	0.000533414149050662	absent
ENSG00000004838	3.22646415883658e-11	present
ENSG00000004846	0.00447055937867517	absent
ENSG00000004848	3.51293336690222e-06	present
ENSG00000004864	3.22646415883658e-11	present
ENSG00000004866	3.22646415883658e-11	present
ENSG00000004897	3.22646415883658e-11	present
ENSG00000004939	2.40484481241095e-09	present
ENSG00000004948	0.00304110008580945	absent
ENSG00000004961	9.20114191420608e-11	present
ENSG00000004975	3.22646415883658e-11	present
ENSG00000005001	9.20114191420608e-11	present
