id	minimum_pValue	call
ENSMUSG00000000001	6.89845968236017e-11	present
ENSMUSG00000000003	NA	absent
ENSMUSG00000000028	2.64804006456729e-09	present
ENSMUSG00000000031	3.72291934327988e-16	present
ENSMUSG00000000037	0.00194343258751925	absent
ENSMUSG00000000049	5.66867431398156e-24	present
ENSMUSG00000000056	2.33074455399379e-12	present
ENSMUSG00000000058	3.63425813739959e-06	present
ENSMUSG00000000078	3.80098346062606e-08	present
ENSMUSG00000000085	2.86063379059025e-08	present
ENSMUSG00000000088	2.71031270263014e-17	present
ENSMUSG00000000093	0.00201792238297537	absent
ENSMUSG00000000094	0.115579565908676	absent
ENSMUSG00000000103	0.56833356191196	absent
ENSMUSG00000000120	0.000166175920097014	absent
ENSMUSG00000000125	0.150218658568626	absent
ENSMUSG00000000126	0.0694410100141579	absent
ENSMUSG00000000127	1.53850905228991e-06	present
ENSMUSG00000000131	4.22701372075864e-10	present
ENSMUSG00000000134	1.12144864723216e-07	present
ENSMUSG00000000142	1.89184364058287e-05	present
ENSMUSG00000000148	5.77221155476353e-06	present
ENSMUSG00000000149	5.76846869178077e-11	present
ENSMUSG00000000154	1.08009341947423e-13	present
ENSMUSG00000000157	7.47786849880746e-06	present
ENSMUSG00000000159	2.67392770016333e-10	present
ENSMUSG00000000167	0.000108511294048696	absent
ENSMUSG00000000168	5.04801589982859e-10	present
ENSMUSG00000000171	5.68319426488727e-16	present
ENSMUSG00000000182	0.752995141313823	absent
ENSMUSG00000000183	0.721673684554258	absent
ENSMUSG00000000184	3.63882161949929e-11	present
ENSMUSG00000000194	1.86410599890658e-07	present
ENSMUSG00000000197	0.822281365979391	absent
ENSMUSG00000000202	0.122598190752257	absent
ENSMUSG00000000204	0.00314608844195995	absent
ENSMUSG00000000214	0.0355291268418444	absent
ENSMUSG00000000215	8.33244150271811e-09	present
ENSMUSG00000000216	0.729064346041268	absent
ENSMUSG00000000223	0.177619803529584	absent
ENSMUSG00000000244	6.93810364744842e-11	present
ENSMUSG00000000247	0.000109040923592284	absent
ENSMUSG00000000248	0.0423012152876438	absent
ENSMUSG00000000253	5.40392037012542e-14	present
ENSMUSG00000000263	0.625493433646005	absent
ENSMUSG00000000266	0.000142578538986403	absent
ENSMUSG00000000275	3.37422225480138e-09	present
ENSMUSG00000000276	0.00896373829491097	absent
ENSMUSG00000000278	4.05145958077114e-10	present
ENSMUSG00000000282	1.04719203725504e-05	present
ENSMUSG00000000290	1.38304198912672e-07	present
ENSMUSG00000000295	7.23215846454828e-08	present
ENSMUSG00000000296	2.56772026434731e-07	present
ENSMUSG00000000301	2.01126657078183e-17	present
ENSMUSG00000000303	2.52774226795969e-09	present
ENSMUSG00000000305	0.0578163423513366	absent
ENSMUSG00000000308	0.00012600647933391	absent
ENSMUSG00000000317	0.000296239809480344	absent
ENSMUSG00000000318	0.00217497012301764	absent
ENSMUSG00000000320	2.32827793941356e-07	present
ENSMUSG00000000325	1.15375033689613e-08	present
ENSMUSG00000000326	1.55106085558655e-19	present
ENSMUSG00000000339	1.06570343632356e-08	present
ENSMUSG00000000340	5.12399100709292e-13	present
ENSMUSG00000000346	1.35685418462067e-12	present
ENSMUSG00000000355	3.40486813298925e-14	present
ENSMUSG00000000359	0.0052053314335031	absent
ENSMUSG00000000365	0.000242857867783717	absent
ENSMUSG00000000374	2.51821132989598e-07	present
ENSMUSG00000000378	3.08559959443828e-09	present
ENSMUSG00000000381	0.337822740086639	absent
ENSMUSG00000000384	2.25174979219644e-10	present
ENSMUSG00000000385	1.88334842526879e-05	present
ENSMUSG00000000386	1.13561142696469e-05	present
ENSMUSG00000000392	0.00067455361784653	absent
ENSMUSG00000000394	1.38912434867649e-05	present
ENSMUSG00000000399	9.20684367673959e-14	present
ENSMUSG00000000402	0.00513338396847994	absent
ENSMUSG00000000409	4.30939183938485e-05	present
ENSMUSG00000000411	0.0591857662977384	absent
ENSMUSG00000000416	0.000119814107674937	absent
ENSMUSG00000000420	7.37435009495833e-10	present
ENSMUSG00000000435	0.00112487316522975	absent
ENSMUSG00000000439	6.69057730728571e-08	present
ENSMUSG00000000440	1.56841644264493e-06	present
ENSMUSG00000000441	6.15288294349754e-11	present
ENSMUSG00000000486	1.01214277611085e-06	present
ENSMUSG00000000489	0.00177159043619178	absent
ENSMUSG00000000530	3.6303473493752e-05	present
ENSMUSG00000000531	0.00474083827441536	absent
ENSMUSG00000000532	2.30994855799577e-05	present
ENSMUSG00000000538	4.83702755655767e-08	present
ENSMUSG00000000544	0.0312691178242485	absent
ENSMUSG00000000552	8.87521143735537e-08	present
ENSMUSG00000000555	1.07452344029696e-07	present
ENSMUSG00000000560	0.0729550804809142	absent
ENSMUSG00000000561	5.19380678151758e-10	present
ENSMUSG00000000562	0.0100830259668889	absent
ENSMUSG00000000563	5.04488870296251e-19	present
ENSMUSG00000000567	8.66902431365687e-05	present
ENSMUSG00000000568	5.55384075951173e-12	present
ENSMUSG00000000579	2.02987297876444e-07	present
ENSMUSG00000000581	3.0543766535344e-15	present
ENSMUSG00000000594	1.36784349446664e-11	present
ENSMUSG00000000600	3.39745228105042e-08	present
ENSMUSG00000000605	1.85188784102751e-09	present
ENSMUSG00000000606	0.663454769163929	absent
ENSMUSG00000000617	0.191684366922659	absent
ENSMUSG00000000627	0.230330765782929	absent
ENSMUSG00000000628	1.35959619964566e-05	present
ENSMUSG00000000631	2.8276024787125e-11	present
ENSMUSG00000000632	0.039275437800924	absent
ENSMUSG00000000673	3.3697873611819e-19	present
ENSMUSG00000000682	1.16903043052569e-10	present
ENSMUSG00000000686	1.98374190790786e-08	present
ENSMUSG00000000690	0.017319276438653	absent
ENSMUSG00000000693	0.00031249762349451	absent
ENSMUSG00000000701	0.304173170545244	absent
ENSMUSG00000000706	0.000137918626937932	absent
ENSMUSG00000000708	4.25918096316444e-12	present
ENSMUSG00000000711	1.62761636233362e-10	present
ENSMUSG00000000724	0.151553500857032	absent
ENSMUSG00000000730	0.14406827482787	absent
ENSMUSG00000000731	0.18094822657747	absent
ENSMUSG00000000732	0.000667937616230336	absent
ENSMUSG00000000738	4.15685277560456e-10	present
ENSMUSG00000000739	5.94829681925902e-11	present
ENSMUSG00000000740	1.1191023394473e-18	present
ENSMUSG00000000743	2.61555600084142e-10	present
ENSMUSG00000000751	2.89765620682406e-11	present
ENSMUSG00000000753	1.41229978531015e-19	present
ENSMUSG00000000759	5.6919560158787e-08	present
ENSMUSG00000000766	0.648979009135496	absent
ENSMUSG00000000776	1.12608542694907e-07	present
ENSMUSG00000000782	7.66772188464688e-05	present
ENSMUSG00000000787	2.63292487334539e-13	present
ENSMUSG00000000791	0.00424749290647886	absent
ENSMUSG00000000792	0.57033540221125	absent
ENSMUSG00000000794	0.70687841802	absent
ENSMUSG00000000804	6.41172784045598e-09	present
ENSMUSG00000000805	3.98198882207046e-05	present
ENSMUSG00000000811	1.84142190407094e-05	present
ENSMUSG00000000817	0.0565035490505947	absent
