id	minimum_qValue	call
ENSMUSG00000000001	2.88917082926032e-09	present
ENSMUSG00000000003	1	absent
ENSMUSG00000000028	0.000503739288504012	absent
ENSMUSG00000000031	1.40781198423903e-07	present
ENSMUSG00000000037	0.00303799766889607	absent
ENSMUSG00000000049	1.25129366372533e-09	present
ENSMUSG00000000056	0.000175645388154595	absent
ENSMUSG00000000058	0.000594842267745489	absent
ENSMUSG00000000078	0.000479803474339976	absent
ENSMUSG00000000085	0.000450171076540865	absent
ENSMUSG00000000088	1.25129366372533e-09	present
ENSMUSG00000000093	0.00464514325572312	absent
ENSMUSG00000000094	0.0247568237242135	absent
ENSMUSG00000000103	0.444047503489692	absent
ENSMUSG00000000120	0.00174163335446228	absent
ENSMUSG00000000125	0.0501011595697462	absent
ENSMUSG00000000126	0.018163869516357	absent
ENSMUSG00000000127	0.00072240599516744	absent
ENSMUSG00000000131	4.42410492948105e-05	present
ENSMUSG00000000134	0.000630174000510699	absent
ENSMUSG00000000142	0.00173664089044401	absent
ENSMUSG00000000148	0.000667444025988744	absent
ENSMUSG00000000149	4.76416441929899e-06	present
ENSMUSG00000000154	2.24767489707815e-09	present
ENSMUSG00000000157	0.000686411740386551	absent
ENSMUSG00000000159	1.66884478072192e-08	present
ENSMUSG00000000167	0.00129866698011118	absent
ENSMUSG00000000168	1.01523367844771e-05	present
ENSMUSG00000000171	1.25129366372533e-09	present
ENSMUSG00000000182	0.0878881986703325	absent
ENSMUSG00000000183	0.220399397987611	absent
ENSMUSG00000000184	0.000650032024929648	absent
ENSMUSG00000000194	0.000596485215935725	absent
ENSMUSG00000000197	0.066543232906528	absent
ENSMUSG00000000202	0.0382119072548009	absent
ENSMUSG00000000204	0.00490419944580335	absent
ENSMUSG00000000214	0.019728300456556	absent
ENSMUSG00000000215	1.71757785946058e-05	present
ENSMUSG00000000216	0.199783880297455	absent
ENSMUSG00000000223	0.0297557506172118	absent
ENSMUSG00000000244	0.000883634437911656	absent
ENSMUSG00000000247	0.00147521935634091	absent
ENSMUSG00000000248	0.024930197053638	absent
ENSMUSG00000000253	9.7739707727108e-05	present
ENSMUSG00000000263	0.283338848549059	absent
ENSMUSG00000000266	0.00253231883680562	absent
ENSMUSG00000000275	0.000298309467916369	absent
ENSMUSG00000000276	0.00653355278799717	absent
ENSMUSG00000000278	9.18232371561014e-05	present
ENSMUSG00000000282	0.0025219148892677	absent
ENSMUSG00000000290	0.000562164263106657	absent
ENSMUSG00000000295	0.000508574813627963	absent
ENSMUSG00000000296	0.000199721839427398	absent
ENSMUSG00000000301	1.25129366372533e-09	present
ENSMUSG00000000303	2.88917082926032e-09	present
ENSMUSG00000000305	0.0131786456142355	absent
ENSMUSG00000000308	0.00124977121699548	absent
ENSMUSG00000000317	0.00136157655076382	absent
ENSMUSG00000000318	0.00349655622877044	absent
ENSMUSG00000000320	0.000757729825602207	absent
ENSMUSG00000000325	0.000456817721091876	absent
ENSMUSG00000000326	1.25129366372533e-09	present
ENSMUSG00000000339	0.000516302432015783	absent
ENSMUSG00000000340	2.88917082926032e-09	present
ENSMUSG00000000346	2.24767489707815e-09	present
ENSMUSG00000000355	2.24767489707815e-09	present
ENSMUSG00000000359	0.00447676718631278	absent
ENSMUSG00000000365	0.00182119598943882	absent
ENSMUSG00000000374	0.000704722740588481	absent
ENSMUSG00000000378	0.000447498629441433	absent
ENSMUSG00000000381	0.150193195612057	absent
ENSMUSG00000000384	0.000469353014625752	absent
ENSMUSG00000000385	0.000853524399251637	absent
ENSMUSG00000000386	0.000980819361201495	absent
ENSMUSG00000000392	0.00415933658355588	absent
ENSMUSG00000000394	0.00148862103046313	absent
ENSMUSG00000000399	2.24767489707815e-09	present
ENSMUSG00000000402	0.00475183373968872	absent
ENSMUSG00000000409	0.000791063129771216	absent
ENSMUSG00000000411	0.0203405539936269	absent
ENSMUSG00000000416	0.00126864671384147	absent
ENSMUSG00000000420	5.94663401513503e-05	present
ENSMUSG00000000435	0.00322872850865368	absent
ENSMUSG00000000439	0.000449009065147127	absent
ENSMUSG00000000440	0.000433963400767299	absent
ENSMUSG00000000441	2.24767489707815e-09	present
ENSMUSG00000000486	0.000770898297349098	absent
ENSMUSG00000000489	0.00532625263493497	absent
ENSMUSG00000000530	0.00159435797157518	absent
ENSMUSG00000000531	0.00786034098326451	absent
ENSMUSG00000000532	0.00194622699409962	absent
ENSMUSG00000000538	0.00068898208406947	absent
ENSMUSG00000000544	0.0197543696367467	absent
ENSMUSG00000000552	0.000681778322253061	absent
ENSMUSG00000000555	0.000535682073669129	absent
ENSMUSG00000000560	0.0200229898125942	absent
ENSMUSG00000000561	0.000129419913961541	absent
ENSMUSG00000000562	0.00590662029512448	absent
ENSMUSG00000000563	1.25129366372533e-09	present
ENSMUSG00000000567	0.00137094013326001	absent
ENSMUSG00000000568	2.88917082926032e-09	present
ENSMUSG00000000579	0.000625262417939105	absent
ENSMUSG00000000581	2.24767489707815e-09	present
ENSMUSG00000000594	2.88917082926032e-09	present
ENSMUSG00000000600	0.00052528871231298	absent
ENSMUSG00000000605	0.000385179450830384	absent
ENSMUSG00000000606	0.255694823706191	absent
ENSMUSG00000000617	0.0556579692788443	absent
ENSMUSG00000000627	0.0229644537052584	absent
ENSMUSG00000000628	0.000962807221844072	absent
ENSMUSG00000000631	2.88917082926032e-09	present
ENSMUSG00000000632	0.0113237521708931	absent
ENSMUSG00000000673	1.25129366372533e-09	present
ENSMUSG00000000682	1.66884478072192e-08	present
ENSMUSG00000000686	0.00049478582408041	absent
ENSMUSG00000000690	0.00584358780876519	absent
ENSMUSG00000000693	0.00174351406432011	absent
ENSMUSG00000000701	0.318191146124555	absent
ENSMUSG00000000706	0.00217866823714549	absent
ENSMUSG00000000708	2.24767489707815e-09	present
ENSMUSG00000000711	2.24767489707815e-09	present
ENSMUSG00000000724	0.0334541942855523	absent
ENSMUSG00000000730	0.0557554482422473	absent
ENSMUSG00000000731	0.0561562468962073	absent
ENSMUSG00000000732	0.0020531676559175	absent
ENSMUSG00000000738	2.88917082926032e-09	present
ENSMUSG00000000739	3.22930411717021e-05	present
ENSMUSG00000000740	2.14489325159581e-09	present
ENSMUSG00000000743	1.66884478072192e-08	present
ENSMUSG00000000751	0.000398142397743156	absent
ENSMUSG00000000753	1.25129366372533e-09	present
ENSMUSG00000000759	0.000613092729387544	absent
ENSMUSG00000000766	0.118245428303814	absent
ENSMUSG00000000776	0.000778345786880564	absent
ENSMUSG00000000782	0.00195829557396065	absent
ENSMUSG00000000787	2.88917082926032e-09	present
ENSMUSG00000000791	0.00809492303234286	absent
ENSMUSG00000000792	0.0947029615624463	absent
ENSMUSG00000000794	0.0463185176986254	absent
ENSMUSG00000000804	0.000445815324179535	absent
ENSMUSG00000000805	0.000931112754355533	absent
ENSMUSG00000000811	0.00101862142364049	absent
ENSMUSG00000000817	0.0074107116907676	absent
ENSMUSG00000000823	0.000679775251492224	absent
ENSMUSG00000000826	0.000448510266022814	absent
ENSMUSG00000000827	2.88917082926032e-09	present
ENSMUSG00000000838	0.00046409173304213	absent
ENSMUSG00000000861	0.000594614094159116	absent
ENSMUSG00000000869	0.00169316435568463	absent
ENSMUSG00000000876	2.24767489707815e-09	present
ENSMUSG00000000881	0.000488842659932252	absent
ENSMUSG00000000884	0.000694274899452216	absent
ENSMUSG00000000889	0.022145290840832	absent
ENSMUSG00000000901	0.00126401786472943	absent
ENSMUSG00000000902	0.000488164540059944	absent
ENSMUSG00000000903	0.000548028728745066	absent
ENSMUSG00000000915	0.000507746473155708	absent
ENSMUSG00000000916	0.000780264077972639	absent
ENSMUSG00000000934	0.000467486140318073	absent
ENSMUSG00000000938	0.00747331850589992	absent
ENSMUSG00000000942	0.00564125129507019	absent
ENSMUSG00000000948	0.00605202869938113	absent
ENSMUSG00000000957	0.000455429464950128	absent
ENSMUSG00000000958	0.000779778862152801	absent
ENSMUSG00000000959	2.88917082926032e-09	present
ENSMUSG00000000976	0.000459448611804541	absent
ENSMUSG00000000982	0.00286039845567042	absent
ENSMUSG00000000983	0.00361766769887192	absent
ENSMUSG00000001014	0.000339318392641051	absent
ENSMUSG00000001016	0.000122591091325441	absent
ENSMUSG00000001017	1.84558688683997e-05	present
ENSMUSG00000001018	0.000359121020310249	absent
ENSMUSG00000001020	0.000509946251011327	absent
ENSMUSG00000001021	0.0576337584900875	absent
ENSMUSG00000001023	0.118944216695402	absent
ENSMUSG00000001025	7.57539526389096e-05	present
ENSMUSG00000001027	0.0365119980633064	absent
ENSMUSG00000001029	0.000608433953064229	absent
ENSMUSG00000001034	0.00068849578636359	absent
ENSMUSG00000001036	0.00121593684575198	absent
ENSMUSG00000001039	0.00149725497369218	absent
ENSMUSG00000001052	0.000476856060173181	absent
ENSMUSG00000001053	0.00131100510354407	absent
ENSMUSG00000001054	0.000448193879097808	absent
ENSMUSG00000001056	1.66884478072192e-08	present
ENSMUSG00000001062	0.000578886204086772	absent
ENSMUSG00000001065	0.000461119729226387	absent
ENSMUSG00000001076	0.00315687185607516	absent
ENSMUSG00000001082	0.000503320515846547	absent
ENSMUSG00000001089	0.000764940172174778	absent
ENSMUSG00000001095	0.00297812038122881	absent
ENSMUSG00000001098	0.000510674705231525	absent
ENSMUSG00000001100	2.24767489707815e-09	present
ENSMUSG00000001103	0.00255035301527991	absent
ENSMUSG00000001105	2.24767489707815e-09	present
ENSMUSG00000001119	0.000755328839565468	absent
ENSMUSG00000001120	0.000934285296608574	absent
ENSMUSG00000001123	1.25129366372533e-09	present
ENSMUSG00000001127	1.40265447963962e-05	present
ENSMUSG00000001128	7.7783883705765e-06	present
ENSMUSG00000001131	0.00148509090456132	absent
ENSMUSG00000001134	5.83328121302773e-09	present
ENSMUSG00000001138	0.000523376837523925	absent
ENSMUSG00000001143	0.000482584959092057	absent
ENSMUSG00000001150	2.84140461960807e-05	present
ENSMUSG00000001151	0.000578434791815288	absent
ENSMUSG00000001155	2.14489325159581e-09	present
ENSMUSG00000001156	0.000711022387923065	absent
ENSMUSG00000001157	0.000690117779788372	absent
ENSMUSG00000001158	2.88917082926032e-09	present
ENSMUSG00000001166	0.00367620927660827	absent
ENSMUSG00000001168	0.0531258186637688	absent
ENSMUSG00000001173	0.0015199624629952	absent
ENSMUSG00000001175	2.24767489707815e-09	present
ENSMUSG00000001211	2.24767489707815e-09	present
ENSMUSG00000001225	0.0102804712927262	absent
ENSMUSG00000001227	0.00378482961683215	absent
ENSMUSG00000001228	0.000980898820059508	absent
ENSMUSG00000001229	0.000449392586065498	absent
ENSMUSG00000001240	0.000197420905788858	absent
ENSMUSG00000001247	2.24767489707815e-09	present
ENSMUSG00000001248	0.000686915109713115	absent
ENSMUSG00000001249	2.14489325159581e-09	present
ENSMUSG00000001260	0.176427758392981	absent
ENSMUSG00000001270	0.000605693727852469	absent
ENSMUSG00000001280	0.000596713193143959	absent
ENSMUSG00000001281	0.000774143045866463	absent
ENSMUSG00000001285	2.22140568130737e-06	present
ENSMUSG00000001288	0.00158097622570466	absent
ENSMUSG00000001289	2.24767489707815e-09	present
ENSMUSG00000001300	0.00205287775909534	absent
ENSMUSG00000001305	0.00048620011101478	absent
ENSMUSG00000001313	0.00049182857489332	absent
ENSMUSG00000001323	2.24767489707815e-09	present
ENSMUSG00000001333	0.0130978490419144	absent
ENSMUSG00000001334	0.00394704653900497	absent
ENSMUSG00000001348	2.24767489707815e-09	present
ENSMUSG00000001349	0.00159831043422198	absent
ENSMUSG00000001366	2.24767489707815e-09	present
ENSMUSG00000001376	0.000650400773863625	absent
ENSMUSG00000001380	2.88917082926032e-09	present
ENSMUSG00000001383	2.24767489707815e-09	present
ENSMUSG00000001403	1.40781198423903e-07	present
ENSMUSG00000001415	0.000450194305035793	absent
ENSMUSG00000001416	2.24767489707815e-09	present
ENSMUSG00000001418	2.24767489707815e-09	present
ENSMUSG00000001419	0.000492214670249359	absent
ENSMUSG00000001420	0.00247760287227367	absent
ENSMUSG00000001424	2.24767489707815e-09	present
ENSMUSG00000001435	2.14489325159581e-09	present
ENSMUSG00000001436	0.000493708763892261	absent
ENSMUSG00000001440	2.88917082926032e-09	present
ENSMUSG00000001441	2.88917082926032e-09	present
ENSMUSG00000001444	0.0465932413660594	absent
ENSMUSG00000001445	2.24767489707815e-09	present
ENSMUSG00000001467	2.24767489707815e-09	present
ENSMUSG00000001472	2.24767489707815e-09	present
ENSMUSG00000001473	0.000638786801501998	absent
ENSMUSG00000001482	0.000218629460032651	absent
ENSMUSG00000001493	0.00394192823377037	absent
ENSMUSG00000001494	0.0901636759658603	absent
ENSMUSG00000001496	0.0520616865878199	absent
ENSMUSG00000001497	0.0203372749977091	absent
ENSMUSG00000001504	0.00897315673689911	absent
ENSMUSG00000001506	0.000927501672730836	absent
ENSMUSG00000001507	0.00156659623952435	absent
ENSMUSG00000001508	0.00474648803231026	absent
ENSMUSG00000001510	0.0257301444069423	absent
ENSMUSG00000001517	0.000598777979500452	absent
ENSMUSG00000001518	0.000530587095888169	absent
ENSMUSG00000001520	0.00108340288798369	absent
ENSMUSG00000001521	0.00149371231013283	absent
ENSMUSG00000001524	0.000475311196936471	absent
ENSMUSG00000001525	2.88917082926032e-09	present
ENSMUSG00000001542	2.24767489707815e-09	present
ENSMUSG00000001552	0.000480417320661164	absent
ENSMUSG00000001555	0.000673879721085304	absent
ENSMUSG00000001558	0.00982397607240612	absent
ENSMUSG00000001566	0.164665377815901	absent
ENSMUSG00000001569	0.000410134872315033	absent
ENSMUSG00000001576	2.24767489707815e-09	present
ENSMUSG00000001583	0.0045681112868855	absent
ENSMUSG00000001588	0.000686281095255964	absent
ENSMUSG00000001604	2.24767489707815e-09	present
ENSMUSG00000001622	0.0461453040133788	absent
ENSMUSG00000001627	1.66884478072192e-08	present
ENSMUSG00000001630	0.000912884137219722	absent
ENSMUSG00000001632	0.00069424180839964	absent
ENSMUSG00000001642	1.96846679270985e-05	present
ENSMUSG00000001655	0.327030859962217	absent
ENSMUSG00000001656	0.543648419543833	absent
ENSMUSG00000001657	0.00895521069825934	absent
ENSMUSG00000001661	0.00813703465630767	absent
ENSMUSG00000001663	1.25129366372533e-09	present
ENSMUSG00000001665	9.59152537742702e-09	present
