1_58081_78080 1- 58081-78080	51.12
1_187250_198730 1- 187250-198730	48.79
1_221009_226341 1+ 221009-226341	55.41
1_254793_274792 1+ 254793-274792	48.49
1_329583_349582 1- 329583-349582	54.36
1_382294_393943 1+ 382294-393943	62.93
1_400001_418004 1+ 400001-418004	60.06
1_436366_456365 1- 436366-456365	59.70
1_475846_482219 1- 475846-482219	51.32
1_489167_509166 1- 489167-509166	55.59
1_552464_554854 1+ 552464-554854	46.97
1_762099_782098 1- 762099-782098	54.64
1_845993_854529 1+ 845993-854529	61.68
1_891014_911013 1- 891014-911013	61.46
1_959133_979132 1+ 959133-979132	54.16
1_1067147_1087146 1- 1067147-1087146	52.38
1_1153886_1162296 1- 1153886-1162296	58.54
1_1168301_1186104 1- 1168301-1186104	57.62
1_1188594_1192662 1- 1188594-1192662	58.12
1_1341915_1361914 1+ 1341915-1361914	60.68
1_1384945_1404944 1- 1384945-1404944	55.71
1_1424524_1431542 1+ 1424524-1431542	58.83
1_1457622_1477621 1- 1457622-1477621	59.30
1_1543735_1563734 1- 1543735-1563734	59.53
1_1721570_1741569 1+ 1721570-1741569	53.32
1_1783836_1803835 1- 1783836-1803835	58.12
1_1844875_1864874 1+ 1844875-1864874	51.92
1_1896388_1916387 1- 1896388-1916387	52.34
1_1965060_1974064 1+ 1965060-1974064	53.36
1_1976620_1980054 1- 1976620-1980054	49.08
1_1997734_2003727 1+ 1997734-2003727	54.67
1_2007427_2018107 1+ 2007427-2018107	53.62
1_2037243_2057242 1- 2037243-2057242	52.31
1_2075476_2086425 1- 2075476-2086425	45.38
1_2129081_2143803 1+ 2129081-2143803	48.91
1_2176945_2179928 1+ 2176945-2179928	63.51
1_2192358_2203104 1+ 2192358-2203104	51.72
1_2523105_2527703 1- 2523105-2527703	57.73
1_2537811_2540882 1+ 2537811-2540882	47.85
1_2554797_2574796 1- 2554797-2574796	50.97
1_2594012_2599277 1+ 2594012-2599277	56.49
1_2605339_2625338 1- 2605339-2625338	54.05
1_2639397_2659396 1- 2639397-2659396	47.84
1_2692467_2712466 1- 2692467-2712466	45.16
1_2739813_2759812 1- 2739813-2759812	44.84
1_2793478_2813477 1- 2793478-2813477	49.51
