libraryId	proportionCodingPresent	proportionGenicPresent	speciesId	organism
SRX081869	73.3118779426664	54.3274757759895	9031	Gallus gallus
SRX081870	74.8137552893498	55.7727048776482	9031	Gallus gallus
SRX081871	71.4285714285714	53.1409098374117	9031	Gallus gallus
SRX081872	73.9376601704512	55.263590080473	9031	Gallus gallus
SRX081873	57.7626795399011	41.8500574807029	9031	Gallus gallus
SRX081874	57.1428571428571	41.5133847922483	9031	Gallus gallus
SRX081875	67.8705524763097	49.7906060108392	9031	Gallus gallus
SRX081876	66.8156624351868	49.0310395795697	9031	Gallus gallus
SRX081877	58.6804934739853	42.404335687305	9031	Gallus gallus
SRX081878	55.9926098098814	40.5854820167515	9031	Gallus gallus
SRX081879	77.3764825078968	59.7635079651831	9031	Gallus gallus
SRX081880	74.7064783360153	57.5053374938414	9031	Gallus gallus
SRX081881	68.5996440259517	47.1071863580999	9258	Ornithorhynchus anatinus
SRX081882	69.1106390308319	47.5943970767357	9258	Ornithorhynchus anatinus
SRX081883	69.4723545960843	47.9598051157125	9258	Ornithorhynchus anatinus
SRX081884	68.8809783544813	47.5373020706456	9258	Ornithorhynchus anatinus
SRX081885	57.0591950393294	38.9806638246041	9258	Ornithorhynchus anatinus
SRX081886	53.5568697249813	36.4266138855055	9258	Ornithorhynchus anatinus
SRX081887	65.0399035425159	44.4884287454324	9258	Ornithorhynchus anatinus
SRX081888	64.6724464603548	44.2410170523752	9258	Ornithorhynchus anatinus
SRX081889	53.7693058506057	36.5255785627284	9258	Ornithorhynchus anatinus
SRX081890	54.2917838893036	36.9556942752741	9258	Ornithorhynchus anatinus
SRX081891	73.0493196302463	50.6623020706456	9258	Ornithorhynchus anatinus
SRX081892	72.4981340070047	50.0228380024361	9258	Ornithorhynchus anatinus
SRX081893	60.4630495790458	41.3834500500214	13616	Monodelphis domestica
SRX081894	59.9017773620206	40.9461197656138	13616	Monodelphis domestica
SRX081895	59.7754911131899	40.4802058024868	13616	Monodelphis domestica
SRX081896	58.2600561272217	39.3454337573246	13616	Monodelphis domestica
SRX081897	46.4686623012161	30.3329998570816	13616	Monodelphis domestica
SRX081898	46.4639850327409	30.3530084321852	13616	Monodelphis domestica
SRX081899	54.4855004677268	35.9211090467343	13616	Monodelphis domestica
SRX081900	54.2703461178672	35.9468343575818	13616	Monodelphis domestica
SRX081901	47.0392890551918	30.6874374732028	13616	Monodelphis domestica
SRX081902	45.2198316183349	29.5040731742175	13616	Monodelphis domestica
SRX081903	62.2778297474275	44.7134486208375	13616	Monodelphis domestica
SRX081904	59.4013096351731	42.709732742604	13616	Monodelphis domestica
SRX081905	60.2069657184537	27.0513814046533	10090	Mus musculus
SRX081906	60.3391684901532	27.5704219006254	10090	Mus musculus
SRX081907	60.8953318745441	28.0750446050426	10090	Mus musculus
SRX081908	59.8468271334792	27.1667237370916	10090	Mus musculus
SRX081909	59.7055069292487	27.1306792582046	10090	Mus musculus
SRX081910	59.2222830051058	27.3054949808063	10090	Mus musculus
SRX081911	49.0654631655726	21.1058446122515	10090	Mus musculus
SRX081912	47.3149161196207	20.2083370879666	10090	Mus musculus
SRX081913	50.264405543399	21.9132409393191	10090	Mus musculus
