libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	approach	cutoff	mean	standard_deviation
DRX000748	1.0775	35.3720396756163	10948	30951	52.3590276746374	10576	20199	8.48233200576222	2002	23602	pValueCutoff	0.05	0.143265602599478	3.40964581955249
DRX001432	7.45918	40.8618920582803	9956	24365	42.1567796610169	9949	23600	5.58535364371022	781	13983	pValueCutoff	0.05	0.161486198788055	10.2786075914374
DRX001433	2.67053	37.5538682536425	9150	24365	38.7033898305085	9134	23600	3.94765071872989	552	13983	pValueCutoff	0.05	0.0784989286975443	8.53503156580582
DRX001434	5.97292	39.7660578698953	9689	24365	41.0169491525424	9680	23600	5.52098977329615	772	13983	pValueCutoff	0.05	0.150661174053256	9.36709154026342
DRX001435	5.55224	37.6810999384363	9181	24365	38.8728813559322	9174	23600	5.392262032468	754	13983	pValueCutoff	0.05	0.128045155115556	9.8893601560462
DRX001719	0.458691	32.0841435389783	7260	22628	36.0365884817824	7052	19569	4.96608776076457	1933	38924	pValueCutoff	0.05	0.0269611851237237	5.59907352290527
DRX001720	0.875763	34.0816687290083	7712	22628	38.7194031376156	7577	19569	4.13112732504367	1608	38924	pValueCutoff	0.05	0.0354200184586846	7.02991097931086
DRX001721	0.888768	31.0721230334099	7031	22628	34.7590576932904	6802	19569	4.82735587298325	1879	38924	pValueCutoff	0.05	0.0666377530094603	4.83050240153699
DRX001722	0.374963	35.1953332154852	7964	22628	39.0464510194696	7641	19569	6.87236666324119	2675	38924	pValueCutoff	0.05	0.0294223096355621	4.69859814958444
DRX001723	0.6666817	31.9780802545519	7236	22628	35.4949154274618	6946	19569	5.43109649573528	2114	38924	pValueCutoff	0.05	0.0521849692953372	4.70490320452524
DRX001724	0.371644	35.3367509280537	7996	22628	39.1946445909346	7670	19569	6.95971637036276	2709	38924	pValueCutoff	0.05	0.0329228440941521	4.3633901634079
DRX001725	1.05091	20.2448294148842	4581	22628	21.7997853748275	4266	19569	4.34436337478163	1691	38924	pValueCutoff	0.05	0.166392417948457	3.06625148381764
DRX001726	2.17257	23.1217960049496	5232	22628	25.2031273953702	4932	19569	4.10286712568081	1597	38924	pValueCutoff	0.05	0.339815227798576	3.08902576463653
DRX001727	1.09864	28.2128336574156	6384	22628	30.9213552046604	6051	19569	5.05857568595211	1969	38924	pValueCutoff	0.05	0.162987644781204	3.18946144439836
DRX001728	0.7678767	31.655471097755	7163	22628	35.1934181613777	6887	19569	6.07080464494913	2363	38924	pValueCutoff	0.05	0.0819821211374156	3.89608280737912
