libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	approach	cutoff	mean	standard_deviation
SRX109278	5.69611	42.6012242376593	7586	17807	50.3979350397935	7029	13947	0.0426075841499787	1	2347	pValueCutoff	0.001	0.0846471745126304	3.90205682711478
SRX109278	2.01084	55.225473128545	9834	17807	64.1141464114146	8942	13947	0.170430336599915	4	2347	pValueCutoff	0.01	0.0846471745126304	3.90205682711478
SRX109278	0.795099	62.7730667714944	11178	17807	72.3883272388327	10096	13947	0.809544098849595	19	2347	pValueCutoff	0.05	0.0846471745126304	3.90205682711478
SRX109278	0.259038	68.1810523951255	12141	17807	78.2175378217538	10909	13947	3.15296122709842	74	2347	qValueCutoff	0.05	NA	NA
SRX109279	2.984201	55.7308923457067	9924	17807	64.3507564350756	8975	13947	0.255645504899872	6	2347	pValueCutoff	0.001	0.0853326306695692	3.1586787314893
SRX109279	1.2397	65.1934632447914	11609	17807	74.1234674123467	10338	13947	0.468683425649766	11	2347	pValueCutoff	0.01	0.0853326306695692	3.1586787314893
SRX109279	0.565889	71.2135676980963	12681	17807	80.2179680217968	11188	13947	2.002556455049	47	2347	pValueCutoff	0.05	0.0853326306695692	3.1586787314893
SRX109279	0.480715	72.2075588251811	12858	17807	81.2647881264788	11334	13947	2.25820195994887	53	2347	qValueCutoff	0.05	NA	NA
SRX1720957	3.21228	50.9911832425451	9080	17807	58.5143758514376	8161	13947	0.34086067319983	8	2347	pValueCutoff	0.001	0.0560496393958591	3.70576482071868
SRX1720957	1.180406	60.7682372100859	10821	17807	68.3301068330107	9530	13947	1.06518960374947	25	2347	pValueCutoff	0.01	0.0560496393958591	3.70576482071868
SRX1720957	0.483472	67.9788847082608	12105	17807	75.9303075930308	10590	13947	3.36599914784832	79	2347	pValueCutoff	0.05	0.0560496393958591	3.70576482071868
SRX1720957	0.873278	63.2447913741787	11262	17807	70.9758370975837	9899	13947	1.66169578184917	39	2347	qValueCutoff	0.05	NA	NA
SRX1720958	3.11558	50.13197057337	8927	17807	57.4101957410196	8007	13947	0.255645504899872	6	2347	pValueCutoff	0.001	0.0525843503863165	3.74542665119356
SRX1720958	1.13514	60.7120795192902	10811	17807	68.2584068258407	9520	13947	1.1930123561994	28	2347	pValueCutoff	0.01	0.0525843503863165	3.74542665119356
SRX1720958	0.461774	68.2091312405234	12146	17807	76.2171076217108	10630	13947	3.53642948444823	83	2347	pValueCutoff	0.05	0.0525843503863165	3.74542665119356
SRX1720958	0.839413	63.2391756050991	11261	17807	70.9184770918477	9891	13947	1.78951853429911	42	2347	qValueCutoff	0.05	NA	NA
SRX493950	0.786918	45.5495030044365	8111	17807	49.8888649888865	6958	13947	0.639113762249681	15	2347	pValueCutoff	0.001	0.0100075488872971	4.10593765011725
SRX493950	0.267613	62.7337563879373	11171	17807	67.4553667455367	9408	13947	1.95994887089902	46	2347	pValueCutoff	0.01	0.0100075488872971	4.10593765011725
SRX493950	0.10226	73.6395799404728	13113	17807	78.0096078009608	10880	13947	3.91989774179804	92	2347	pValueCutoff	0.05	0.0100075488872971	4.10593765011725
