id	minimum_pValue	call	cutoff
FBgn0000003	7.17E-10	present	0.05
FBgn0000008	0.003724754	present	0.05
FBgn0000014	4.16E-06	present	0.05
FBgn0000015	0.013080724	present	0.05
FBgn0000017	2.21E-05	present	0.05
FBgn0000018	2.07E-05	present	0.05
FBgn0000022	NA	absent	0.05
FBgn0000024	0.02870875	present	0.05
FBgn0000028	1.64E-06	present	0.05
FBgn0000032	1.17E-07	present	0.05
FBgn0000036	0.030552157	present	0.05
FBgn0000037	0.132496617	absent	0.05
FBgn0000038	0.000807252	present	0.05
FBgn0000039	0.665060444	absent	0.05
FBgn0000042	3.71E-16	present	0.05
FBgn0000043	8.36E-14	present	0.05
FBgn0000044	9.97E-09	present	0.05
FBgn0000045	0.000610044	present	0.05
FBgn0000046	2.68E-17	present	0.05
FBgn0000047	0.155193084	absent	0.05
FBgn0000052	3.63E-05	present	0.05
FBgn0000053	0.000987856	present	0.05
FBgn0000055	3.04E-12	present	0.05
FBgn0000056	0.052708879	absent	0.05
FBgn0000057	3.46E-08	present	0.05
FBgn0000061	0.613801078	absent	0.05
FBgn0000063	6.55E-06	present	0.05
FBgn0000064	1.34E-13	present	0.05
FBgn0000071	0.033834572	present	0.05
FBgn0000075	0.002402439	present	0.05
FBgn0000077	0.005820934	present	0.05
FBgn0000078	1.79E-07	present	0.05
FBgn0000079	1.01E-11	present	0.05
FBgn0000083	2.86E-08	present	0.05
FBgn0000084	2.85E-07	present	0.05
FBgn0000092	0.397136419	absent	0.05
FBgn0000094	8.65E-09	present	0.05
FBgn0000097	0.002286727	present	0.05
FBgn0000100	4.53E-12	present	0.05
FBgn0000108	0.022598353	present	0.05
FBgn0000109	8.53E-05	present	0.05
FBgn0000114	1.15E-13	present	0.05
FBgn0000115	3.53E-10	present	0.05
FBgn0000116	1.30E-11	present	0.05
FBgn0000117	4.47E-08	present	0.05
FBgn0000119	9.30E-05	present	0.05
FBgn0000120	1.48E-05	present	0.05
FBgn0000121	2.83E-05	present	0.05
FBgn0000137	NA	absent	0.05
FBgn0000139	1.45E-05	present	0.05
FBgn0000140	6.04E-06	present	0.05
FBgn0000146	2.21E-05	present	0.05
FBgn0000147	1.82E-08	present	0.05
FBgn0000150	1.23E-13	present	0.05
FBgn0000152	0.017024723	present	0.05
FBgn0000153	0.060363577	absent	0.05
FBgn0000157	0.16067429	absent	0.05
FBgn0000158	0.000776509	present	0.05
FBgn0000163	0.000630835	present	0.05
FBgn0000166	0.1608268	absent	0.05
FBgn0000173	7.61E-09	present	0.05
FBgn0000179	0.007043783	present	0.05
FBgn0000180	0.015420016	present	0.05
FBgn0000181	5.46E-14	present	0.05
FBgn0000182	7.61E-11	present	0.05
FBgn0000183	1.81E-06	present	0.05
FBgn0000206	0.004975198	present	0.05
FBgn0000212	0.000898126	present	0.05
FBgn0000216	NA	absent	0.05
FBgn0000221	3.32E-05	present	0.05
FBgn0000227	0.140990737	absent	0.05
FBgn0000228	0.000241751	present	0.05
FBgn0000229	1.22E-06	present	0.05
FBgn0000233	0.197082915	absent	0.05
FBgn0000239	3.85E-08	present	0.05
FBgn0000241	0.026027623	present	0.05
FBgn0000244	0.000678797	present	0.05
FBgn0000246	0.000655554	present	0.05
FBgn0000247	5.91E-06	present	0.05
FBgn0000250	6.17E-08	present	0.05
FBgn0000251	2.41E-08	present	0.05
FBgn0000253	1.40E-12	present	0.05
FBgn0000256	5.17E-11	present	0.05
FBgn0000257	0.000153181	present	0.05
FBgn0000259	1.44E-10	present	0.05
FBgn0000261	4.75E-10	present	0.05
FBgn0000273	0.000228851	present	0.05
FBgn0000274	7.00E-11	present	0.05
FBgn0000276	3.13E-10	present	0.05
FBgn0000277	0.0190521	present	0.05
FBgn0000278	0.03047756	present	0.05
FBgn0000279	0.003373719	present	0.05
FBgn0000280	NA	absent	0.05
FBgn0000281	NA	absent	0.05
FBgn0000283	6.45E-06	present	0.05
FBgn0000286	3.10E-05	present	0.05
FBgn0000287	8.79E-09	present	0.05
FBgn0000289	3.69E-06	present	0.05
FBgn0000299	0.000120203	present	0.05
FBgn0000303	0.391105676	absent	0.05
FBgn0000307	0.001044868	present	0.05
FBgn0000308	2.29E-12	present	0.05
FBgn0000316	0.000421944	present	0.05
FBgn0000317	0.020221808	present	0.05
FBgn0000318	4.34E-13	present	0.05
FBgn0000319	6.57E-07	present	0.05
FBgn0000320	1.32E-06	present	0.05
FBgn0000326	0.000194256	present	0.05
FBgn0000330	0.000263189	present	0.05
FBgn0000337	0.165421228	absent	0.05
FBgn0000339	6.29E-08	present	0.05
FBgn0000346	2.04E-06	present	0.05
FBgn0000351	0.056473767	absent	0.05
FBgn0000352	0.000288321	present	0.05
FBgn0000355	0.004343525	present	0.05
FBgn0000356	NA	absent	0.05
FBgn0000357	0.004796384	present	0.05
FBgn0000358	NA	absent	0.05
FBgn0000359	0.0307706	present	0.05
FBgn0000360	0.000780135	present	0.05
FBgn0000370	2.36E-10	present	0.05
FBgn0000376	0.010434627	present	0.05
FBgn0000377	0.000353775	present	0.05
FBgn0000382	3.30E-06	present	0.05
FBgn0000384	8.60E-05	present	0.05
FBgn0000392	1.44E-09	present	0.05
FBgn0000394	7.80E-05	present	0.05
FBgn0000395	0.006771332	present	0.05
FBgn0000404	6.00E-09	present	0.05
FBgn0000405	9.07E-10	present	0.05
FBgn0000406	2.67E-05	present	0.05
FBgn0000411	1.04E-05	present	0.05
FBgn0000412	1.99E-11	present	0.05
FBgn0000414	0.017441339	present	0.05
FBgn0000416	2.24E-11	present	0.05
FBgn0000422	4.27E-05	present	0.05
FBgn0000426	2.29E-08	present	0.05
FBgn0000427	0.011507114	present	0.05
FBgn0000439	0.190785053	absent	0.05
FBgn0000442	0.002493973	present	0.05
FBgn0000447	7.71E-11	present	0.05
FBgn0000448	0.009045133	present	0.05
FBgn0000449	0.31100991	absent	0.05
FBgn0000451	0.012448115	present	0.05
FBgn0000454	2.14E-08	present	0.05
FBgn0000455	2.97E-06	present	0.05
FBgn0000459	0.002403338	present	0.05
FBgn0000463	0.005015613	present	0.05
FBgn0000464	0.001643761	present	0.05
FBgn0000473	0.006845214	present	0.05
FBgn0000477	0.001118446	present	0.05
FBgn0000479	0.002498621	present	0.05
FBgn0000482	0.000314069	present	0.05
FBgn0000489	7.05E-11	present	0.05
FBgn0000490	0.001453992	present	0.05
FBgn0000492	0.057218608	absent	0.05
FBgn0000499	1.38E-08	present	0.05
FBgn0000500	0.063398817	absent	0.05
FBgn0000504	0.008432649	present	0.05
FBgn0000520	0.000849243	present	0.05
FBgn0000524	0.000796296	present	0.05
FBgn0000527	0.006670766	present	0.05
FBgn0000529	0.22326896	absent	0.05
FBgn0000533	0.014855867	present	0.05
FBgn0000535	0.905881552	absent	0.05
FBgn0000536	1.63E-06	present	0.05
FBgn0000541	2.39E-06	present	0.05
FBgn0000542	0.005671348	present	0.05
FBgn0000543	2.12E-06	present	0.05
FBgn0000546	0.008816801	present	0.05
FBgn0000547	0.005327064	present	0.05
FBgn0000551	0.032148051	present	0.05
FBgn0000552	NA	absent	0.05
FBgn0000557	0.000478223	present	0.05
FBgn0000559	1.11E-12	present	0.05
FBgn0000560	0.000336653	present	0.05
FBgn0000562	0.00031621	present	0.05
FBgn0000564	NA	absent	0.05
FBgn0000565	9.26E-07	present	0.05
FBgn0000566	1.57E-05	present	0.05
FBgn0000567	0.006886268	present	0.05
FBgn0000568	0.001850069	present	0.05
FBgn0000575	0.000494352	present	0.05
FBgn0000576	0.203191176	absent	0.05
FBgn0000577	0.010122885	present	0.05
FBgn0000578	7.69E-05	present	0.05
FBgn0000579	7.93E-12	present	0.05
FBgn0000581	3.84E-06	present	0.05
FBgn0000588	0.001824408	present	0.05
FBgn0000591	0.294583874	absent	0.05
FBgn0000592	1.80E-10	present	0.05
FBgn0000594	0.063774772	absent	0.05
FBgn0000606	0.022753622	present	0.05
FBgn0000611	6.25E-05	present	0.05
FBgn0000615	9.96E-16	present	0.05
FBgn0000617	4.16E-06	present	0.05
FBgn0000618	1.68E-07	present	0.05
FBgn0000625	0.251337946	absent	0.05
FBgn0000629	0.000121873	present	0.05
FBgn0000633	0.501444652	absent	0.05
FBgn0000635	9.25E-05	present	0.05
FBgn0000636	4.01E-06	present	0.05
FBgn0000639	9.67E-06	present	0.05
FBgn0000640	0.000177984	present	0.05
FBgn0000644	0.053143618	absent	0.05
FBgn0000658	0.444914702	absent	0.05
