id	minimum_qValue	call	cutoff
FBgn0000003	1.77E-08	present	0.05
FBgn0000008	0.007839068	present	0.05
FBgn0000014	0.001186415	present	0.05
FBgn0000015	0.012923923	absent	0.05
FBgn0000017	0.001901572	present	0.05
FBgn0000018	0.002335494	present	0.05
FBgn0000022	1	absent	0.05
FBgn0000024	0.01769144	absent	0.05
FBgn0000028	0.000337782	present	0.05
FBgn0000032	7.09E-05	present	0.05
FBgn0000036	0.009045727	present	0.05
FBgn0000037	0.035966513	absent	0.05
FBgn0000038	0.005119844	present	0.05
FBgn0000039	0.31663823	absent	0.05
FBgn0000042	1.77E-08	present	0.05
FBgn0000043	1.77E-08	present	0.05
FBgn0000044	3.18E-05	present	0.05
FBgn0000045	0.002089121	present	0.05
FBgn0000046	1.77E-08	present	0.05
FBgn0000047	0.041165702	absent	0.05
FBgn0000052	0.000426899	present	0.05
FBgn0000053	0.002020033	present	0.05
FBgn0000055	1.77E-08	present	0.05
FBgn0000056	0.008209446	present	0.05
FBgn0000057	1.01E-05	present	0.05
FBgn0000061	0.30037147	absent	0.05
FBgn0000063	0.0013527	present	0.05
FBgn0000064	1.77E-08	present	0.05
FBgn0000071	0.018715837	absent	0.05
FBgn0000075	0.004517206	present	0.05
FBgn0000077	0.001954313	present	0.05
FBgn0000078	3.40E-06	present	0.05
FBgn0000079	1.77E-08	present	0.05
FBgn0000083	1.77E-08	present	0.05
FBgn0000084	1.77E-08	present	0.05
FBgn0000092	0.23459485	absent	0.05
FBgn0000094	1.77E-08	present	0.05
FBgn0000097	0.007461714	present	0.05
FBgn0000100	1.77E-08	present	0.05
FBgn0000108	0.016033859	absent	0.05
FBgn0000109	0.0011829	present	0.05
FBgn0000114	1.77E-08	present	0.05
FBgn0000115	1.77E-08	present	0.05
FBgn0000116	1.77E-08	present	0.05
FBgn0000117	1.17E-05	present	0.05
FBgn0000119	0.00041324	present	0.05
FBgn0000120	0.000309429	present	0.05
FBgn0000121	0.000362733	present	0.05
FBgn0000137	1	absent	0.05
FBgn0000139	0.000700864	present	0.05
FBgn0000140	0.00118704	present	0.05
FBgn0000146	0.002285442	present	0.05
FBgn0000147	1.52E-05	present	0.05
FBgn0000150	1.77E-08	present	0.05
FBgn0000152	0.009311116	present	0.05
FBgn0000153	0.011464865	present	0.05
FBgn0000157	0.080322085	absent	0.05
FBgn0000158	0.006728176	present	0.05
FBgn0000163	0.003514523	present	0.05
FBgn0000166	0.084962967	absent	0.05
FBgn0000173	1.12E-05	present	0.05
FBgn0000179	0.010278971	present	0.05
FBgn0000180	0.009101437	present	0.05
FBgn0000181	1.77E-08	present	0.05
FBgn0000182	1.77E-08	present	0.05
FBgn0000183	0.000538329	present	0.05
FBgn0000206	0.009098732	present	0.05
FBgn0000212	0.005282693	present	0.05
FBgn0000216	1	absent	0.05
FBgn0000221	9.48E-05	present	0.05
FBgn0000227	0.138406072	absent	0.05
FBgn0000228	0.003641973	present	0.05
FBgn0000229	0.001139654	present	0.05
FBgn0000233	0.076679825	absent	0.05
FBgn0000239	3.74E-05	present	0.05
FBgn0000241	0.044635634	absent	0.05
FBgn0000244	0.002255337	present	0.05
FBgn0000246	0.006912005	present	0.05
FBgn0000247	0.001311039	present	0.05
FBgn0000250	0.000305448	present	0.05
FBgn0000251	0.000208908	present	0.05
FBgn0000253	1.77E-08	present	0.05
FBgn0000256	3.21E-07	present	0.05
FBgn0000257	0.001848358	present	0.05
FBgn0000259	6.83E-06	present	0.05
FBgn0000261	1.77E-08	present	0.05
FBgn0000273	0.003587799	present	0.05
FBgn0000274	5.92E-06	present	0.05
FBgn0000276	1.77E-08	present	0.05
FBgn0000277	0.019941392	absent	0.05
FBgn0000278	0.027961963	absent	0.05
FBgn0000279	0.016968166	absent	0.05
FBgn0000280	1	absent	0.05
FBgn0000281	1	absent	0.05
FBgn0000283	0.001346551	present	0.05
FBgn0000286	0.002103711	present	0.05
FBgn0000287	5.18E-05	present	0.05
FBgn0000289	0.000308735	present	0.05
FBgn0000299	0.002429352	present	0.05
FBgn0000303	0.077413339	absent	0.05
FBgn0000307	0.007775621	present	0.05
FBgn0000308	1.77E-08	present	0.05
FBgn0000316	0.001890195	present	0.05
FBgn0000317	0.019049883	absent	0.05
FBgn0000318	1.77E-08	present	0.05
FBgn0000319	0.000407389	present	0.05
FBgn0000320	0.000225502	present	0.05
FBgn0000326	0.004659339	present	0.05
FBgn0000330	0.00362233	present	0.05
FBgn0000337	0.019708504	absent	0.05
FBgn0000339	1.93E-05	present	0.05
FBgn0000346	0.001284273	present	0.05
FBgn0000351	0.027132903	absent	0.05
FBgn0000352	0.003823525	present	0.05
FBgn0000355	0.011089845	present	0.05
FBgn0000356	1	absent	0.05
FBgn0000357	0.006538934	present	0.05
FBgn0000358	1	absent	0.05
FBgn0000359	0.009088046	present	0.05
FBgn0000360	0.000537688	present	0.05
FBgn0000370	1.77E-08	present	0.05
FBgn0000376	0.011899988	present	0.05
FBgn0000377	0.001270644	present	0.05
FBgn0000382	0.001108079	present	0.05
FBgn0000384	0.002534118	present	0.05
FBgn0000392	1.77E-08	present	0.05
FBgn0000394	0.000404093	present	0.05
FBgn0000395	0.006870435	present	0.05
FBgn0000404	1.69E-05	present	0.05
FBgn0000405	1.77E-08	present	0.05
