id	minimum_pValue	call	cutoff
ENSG00000000003	1.90E-14	present	0.05
ENSG00000000005	0.000701831	present	0.05
ENSG00000000419	1.68E-17	present	0.05
ENSG00000000457	3.28E-11	present	0.05
ENSG00000000460	1.17E-08	present	0.05
ENSG00000000938	1.03E-19	present	0.05
ENSG00000000971	1.71E-28	present	0.05
ENSG00000001036	4.05E-17	present	0.05
ENSG00000001084	7.33E-21	present	0.05
ENSG00000001167	4.85E-13	present	0.05
ENSG00000001460	6.24E-11	present	0.05
ENSG00000001461	7.33E-14	present	0.05
ENSG00000001497	7.82E-14	present	0.05
ENSG00000001561	3.40E-15	present	0.05
ENSG00000001617	4.32E-16	present	0.05
ENSG00000001626	4.24E-14	present	0.05
ENSG00000001629	1.61E-23	present	0.05
ENSG00000001630	6.12E-20	present	0.05
ENSG00000001631	1.26E-18	present	0.05
ENSG00000002016	4.61E-13	present	0.05
ENSG00000002079	0.010722674	present	0.05
ENSG00000002330	1.71E-18	present	0.05
ENSG00000002549	8.00E-24	present	0.05
ENSG00000002586	1.46E-28	present	0.05
ENSG00000002587	1.40E-06	present	0.05
ENSG00000002726	9.52E-06	present	0.05
ENSG00000002745	0.011756368	present	0.05
ENSG00000002746	0.001325909	present	0.05
ENSG00000002822	5.47E-13	present	0.05
ENSG00000002834	1.54E-20	present	0.05
ENSG00000002919	1.00E-13	present	0.05
ENSG00000002933	1.08E-19	present	0.05
ENSG00000003056	4.27E-23	present	0.05
ENSG00000003096	3.27E-07	present	0.05
ENSG00000003137	5.56E-09	present	0.05
ENSG00000003147	1.40E-14	present	0.05
ENSG00000003249	2.43E-09	present	0.05
ENSG00000003393	8.27E-13	present	0.05
ENSG00000003400	4.63E-14	present	0.05
ENSG00000003402	2.38E-32	present	0.05
ENSG00000003436	4.28E-27	present	0.05
ENSG00000003509	1.61E-12	present	0.05
ENSG00000003756	4.07E-28	present	0.05
ENSG00000003987	1.03E-08	present	0.05
ENSG00000003989	2.57E-12	present	0.05
ENSG00000004059	3.57E-22	present	0.05
ENSG00000004139	3.40E-12	present	0.05
ENSG00000004142	1.67E-17	present	0.05
ENSG00000004399	3.87E-26	present	0.05
ENSG00000004455	1.30E-21	present	0.05
ENSG00000004468	1.34E-12	present	0.05
ENSG00000004478	2.62E-20	present	0.05
ENSG00000004487	1.76E-15	present	0.05
ENSG00000004534	5.94E-24	present	0.05
ENSG00000004660	9.20E-10	present	0.05
ENSG00000004700	3.45E-16	present	0.05
ENSG00000004766	4.59E-20	present	0.05
ENSG00000004776	1.07E-17	present	0.05
ENSG00000004777	3.31E-15	present	0.05
ENSG00000004779	1.06E-18	present	0.05
ENSG00000004799	4.44E-33	present	0.05
ENSG00000004809	4.43E-05	present	0.05
ENSG00000004838	3.04E-15	present	0.05
ENSG00000004846	0.002126331	present	0.05
ENSG00000004848	2.66E-09	present	0.05
ENSG00000004864	5.24E-15	present	0.05
ENSG00000004866	3.80E-17	present	0.05
ENSG00000004897	1.97E-29	present	0.05
ENSG00000004939	1.01E-09	present	0.05
ENSG00000004948	0.000296389	present	0.05
ENSG00000004961	6.26E-13	present	0.05
ENSG00000004975	7.54E-15	present	0.05
ENSG00000005001	2.98E-13	present	0.05
ENSG00000005007	5.27E-16	present	0.05
ENSG00000005020	1.36E-18	present	0.05
ENSG00000005022	7.62E-25	present	0.05
ENSG00000005059	3.66E-13	present	0.05
ENSG00000005073	0.091065364	absent	0.05
ENSG00000005075	2.71E-17	present	0.05
ENSG00000005100	2.34E-10	present	0.05
ENSG00000005102	5.63E-08	present	0.05
ENSG00000005108	4.37E-08	present	0.05
ENSG00000005156	2.01E-14	present	0.05
ENSG00000005175	5.50E-16	present	0.05
ENSG00000005187	3.09E-13	present	0.05
ENSG00000005189	9.63E-08	present	0.05
ENSG00000005194	7.65E-16	present	0.05
ENSG00000005206	7.14E-18	present	0.05
ENSG00000005238	6.35E-14	present	0.05
ENSG00000005243	1.33E-14	present	0.05
ENSG00000005249	1.72E-13	present	0.05
ENSG00000005302	2.60E-16	present	0.05
ENSG00000005339	5.12E-24	present	0.05
ENSG00000005379	5.11E-14	present	0.05
ENSG00000005381	2.41E-09	present	0.05
ENSG00000005421	2.14E-05	present	0.05
ENSG00000005436	1.87E-13	present	0.05
ENSG00000005448	7.14E-14	present	0.05
ENSG00000005469	6.90E-12	present	0.05
ENSG00000005471	6.43E-06	present	0.05
ENSG00000005483	3.77E-20	present	0.05
ENSG00000005486	4.64E-21	present	0.05
ENSG00000005513	0.007035255	present	0.05
ENSG00000005700	3.21E-16	present	0.05
ENSG00000005801	4.81E-14	present	0.05
ENSG00000005810	7.80E-20	present	0.05
ENSG00000005812	2.50E-18	present	0.05
ENSG00000005844	9.67E-21	present	0.05
ENSG00000005882	2.20E-16	present	0.05
ENSG00000005884	2.72E-25	present	0.05
ENSG00000005889	4.61E-16	present	0.05
ENSG00000005893	4.37E-23	present	0.05
ENSG00000005961	2.19E-07	present	0.05
