id	minimum_qValue	call	cutoff
ENSG00000000003	3.23E-11	present	0.05
ENSG00000000005	0.003013795	absent	0.05
ENSG00000000419	3.23E-11	present	0.05
ENSG00000000457	3.23E-11	present	0.05
ENSG00000000460	1.01E-09	present	0.05
ENSG00000000938	3.54E-11	present	0.05
ENSG00000000971	3.23E-11	present	0.05
ENSG00000001036	3.23E-11	present	0.05
ENSG00000001084	3.23E-11	present	0.05
ENSG00000001167	3.23E-11	present	0.05
ENSG00000001460	1.31E-09	present	0.05
ENSG00000001461	9.20E-11	present	0.05
ENSG00000001497	3.23E-11	present	0.05
ENSG00000001561	3.23E-11	present	0.05
ENSG00000001617	3.23E-11	present	0.05
ENSG00000001626	3.23E-11	present	0.05
ENSG00000001629	3.23E-11	present	0.05
ENSG00000001630	3.23E-11	present	0.05
ENSG00000001631	3.23E-11	present	0.05
ENSG00000002016	3.23E-11	present	0.05
ENSG00000002079	0.006342753	absent	0.05
ENSG00000002330	3.23E-11	present	0.05
ENSG00000002549	3.23E-11	present	0.05
ENSG00000002586	3.23E-11	present	0.05
ENSG00000002587	6.15E-05	present	0.05
ENSG00000002726	0.000792197	present	0.05
ENSG00000002745	0.008001042	absent	0.05
ENSG00000002746	0.002887546	absent	0.05
ENSG00000002822	3.54E-11	present	0.05
ENSG00000002834	3.23E-11	present	0.05
ENSG00000002919	9.20E-11	present	0.05
ENSG00000002933	3.54E-11	present	0.05
ENSG00000003056	3.23E-11	present	0.05
ENSG00000003096	9.86E-06	present	0.05
ENSG00000003137	1.31E-09	present	0.05
ENSG00000003147	3.23E-11	present	0.05
ENSG00000003249	2.31E-07	present	0.05
ENSG00000003393	3.23E-11	present	0.05
ENSG00000003400	3.23E-11	present	0.05
ENSG00000003402	3.23E-11	present	0.05
ENSG00000003436	3.23E-11	present	0.05
ENSG00000003509	3.23E-11	present	0.05
ENSG00000003756	3.23E-11	present	0.05
ENSG00000003987	4.50E-05	present	0.05
ENSG00000003989	3.23E-11	present	0.05
ENSG00000004059	3.23E-11	present	0.05
ENSG00000004139	1.31E-09	present	0.05
ENSG00000004142	3.23E-11	present	0.05
