gene_id	est_counts	tpm	fpkm	type	biotype
ENSELUG00000000002	0	0	0	genic	Mt_tRNA
ENSELUG00000000003	19459.315	1017.118276	1026.70288660212	genic	Mt_rRNA
ENSELUG00000000004	0	0	0	genic	Mt_tRNA
ENSELUG00000000005	139812.039	3742.495312	3777.76196789654	genic	Mt_rRNA
ENSELUG00000000006	0	0	0	genic	Mt_tRNA
ENSELUG00000000007	121810.576	6100.183339	6157.66719636988	genic	protein_coding
ENSELUG00000000008	0	0	0	genic	Mt_tRNA
ENSELUG00000000009	0	0	0	genic	Mt_tRNA
ENSELUG00000000010	0	0	0	genic	Mt_tRNA
ENSELUG00000000011	125529.569	5743.023081	5797.14131012755	genic	protein_coding
ENSELUG00000000012	0	0	0	genic	Mt_tRNA
ENSELUG00000000013	0	0	0	genic	Mt_tRNA
ENSELUG00000000014	0	0	0	genic	Mt_tRNA
ENSELUG00000000015	0	0	0	genic	Mt_tRNA
ENSELUG00000000016	0	0	0	genic	Mt_tRNA
ENSELUG00000000017	1118601.119	32340.484245	32645.2383286563	genic	protein_coding
ENSELUG00000000018	0	0	0	genic	Mt_tRNA
ENSELUG00000000019	0	0	0	genic	Mt_tRNA
ENSELUG00000000020	645815.245	50570.61231	51047.1543585888	genic	protein_coding
ENSELUG00000000021	0	0	0	genic	Mt_tRNA
ENSELUG00000000022	24932.556	73705.853198	74400.4055609544	genic	protein_coding
ENSELUG00000000023	232350.842	18524.665361	18699.2288392201	genic	protein_coding
ENSELUG00000000024	594919.743	39255.188102	39625.1015141848	genic	protein_coding
ENSELUG00000000025	0	0	0	genic	Mt_tRNA
ENSELUG00000000026	43898.887	10650.396363	10750.7582425437	genic	protein_coding
ENSELUG00000000027	0	0	0	genic	Mt_tRNA
ENSELUG00000000028	22601.993	8048.190235	8124.03074566079	genic	protein_coding
ENSELUG00000000029	191558.62	6328.640233	6388.2769082083	genic	protein_coding
ENSELUG00000000030	0	0	0	genic	Mt_tRNA
ENSELUG00000000031	0	0	0	genic	Mt_tRNA
ENSELUG00000000032	0	0	0	genic	Mt_tRNA
ENSELUG00000000033	96598.138	2305.092794	2326.81437481667	genic	protein_coding
ENSELUG00000000034	60494.376	7116.443792	7183.50417644854	genic	protein_coding
ENSELUG00000000035	0	0	0	genic	Mt_tRNA
ENSELUG00000000036	288504.849	11986.853623	12099.8093401786	genic	protein_coding
ENSELUG00000000037	0	0	0	genic	Mt_tRNA
ENSELUG00000000038	0	0	0	genic	Mt_tRNA
ENSELUG00000000044	26	0.228283	0.230434179183102	genic	protein_coding
ENSELUG00000000046	25	0.915696	0.924324878073488	genic	protein_coding
ENSELUG00000000047	0	0	0	genic	snoRNA
ENSELUG00000000048	0	0	0	genic	snoRNA
ENSELUG00000000049	0	0	0	genic	protein_coding
ENSELUG00000000051	6475.997	283.914209	286.589617752241	genic	protein_coding
ENSELUG00000000052	1227.442	53.720297	54.2265194721791	genic	protein_coding
ENSELUG00000000053	9.076	0.866307	0.874470470712124	genic	protein_coding
ENSELUG00000000055	16	0.312926	0.315874795560999	genic	protein_coding
ENSELUG00000000056	0	0	0	genic	protein_coding
ENSELUG00000000057	1149.392	31.934937	32.2358694903216	genic	protein_coding
ENSELUG00000000058	6966.965	135.860765	137.141021740398	genic	protein_coding
ENSELUG00000000059	831.001	7.599167	7.67077623003166	genic	protein_coding
ENSELUG00000000060	1157.604	38.96411	39.33128049592	genic	protein_coding
ENSELUG00000000062	10	1.464555	1.47835594106223	genic	protein_coding
ENSELUG00000000063	107	2.245583	2.26674380217769	genic	protein_coding
ENSELUG00000000064	305	7.50099	7.57167407871221	genic	protein_coding
ENSELUG00000000065	37	0.534075	0.539107748922238	genic	protein_coding
ENSELUG00000000066	401.999	8.748845	8.83128799067467	genic	protein_coding
ENSELUG00000000067	960.037	15.715777	15.8638714806607	genic	protein_coding
ENSELUG00000000068	650.628	20.787514	20.983400979693	genic	protein_coding
ENSELUG00000000069	0	0	0	genic	protein_coding
ENSELUG00000000070	0	0	0	genic	protein_coding
ENSELUG00000000071	30	2.382245	2.40469360919582	genic	protein_coding
ENSELUG00000000072	546	2.082452	2.1020755698331	genic	protein_coding
ENSELUG00000000073	0	0	0	genic	protein_coding
ENSELUG00000000074	0	0	0	genic	protein_coding
ENSELUG00000000075	207	3.371278	3.40304656381794	genic	protein_coding
ENSELUG00000000076	68190.181	2452.554446	2475.66560219499	genic	protein_coding
ENSELUG00000000078	1	27.445245	27.7038697759103	genic	snoRNA
ENSELUG00000000080	1893	53.553123	54.0577701414328	genic	protein_coding
ENSELUG00000000081	27	1.047692	1.05756471597405	genic	protein_coding
ENSELUG00000000082	796.999	6.143065	6.20095294412394	genic	protein_coding
ENSELUG00000000083	0	0	0	genic	snoRNA
ENSELUG00000000084	0	0	0	genic	snoRNA
ENSELUG00000000085	262.001	3.531579	3.56485812822366	genic	protein_coding
ENSELUG00000000086	173	5.726492	5.78045445179274	genic	protein_coding
ENSELUG00000000087	557.389	5.627094	5.68011979462404	genic	protein_coding
ENSELUG00000000089	274	4.21033	4.25000520248985	genic	protein_coding
ENSELUG00000000090	1221.633	15.818817	15.9678824574879	genic	protein_coding
ENSELUG00000000091	4	0.325384	0.328450191031809	genic	protein_coding
ENSELUG00000000092	0	0	0	genic	protein_coding
ENSELUG00000000093	77	2.067607	2.0870906809453	genic	protein_coding
ENSELUG00000000094	133	1.888031	1.905822482433	genic	protein_coding
ENSELUG00000000095	50	1.981179	1.99984824397699	genic	protein_coding
ENSELUG00000000096	4	0.159459	0.160961629987158	genic	protein_coding
ENSELUG00000000097	1	0.03798	0.0383378969322035	genic	protein_coding
ENSELUG00000000098	578	11.645924	11.7556670350783	genic	protein_coding
ENSELUG00000000099	100.325	2.191993	2.21264880753322	genic	protein_coding
ENSELUG00000000100	12	0.196265	0.198114463965217	genic	protein_coding
ENSELUG00000000101	1454	27.336722	27.5943241311296	genic	protein_coding
ENSELUG00000000102	1454	40.093385	40.4711969929741	genic	protein_coding
ENSELUG00000000103	13043.179	234.889433	237.102866582879	genic	protein_coding
ENSELUG00000000104	2	0.346855	0.350123518705094	genic	protein_coding
ENSELUG00000000105	52.999	0.467143	0.471545028609804	genic	protein_coding
ENSELUG00000000106	0	0	0	genic	protein_coding
ENSELUG00000000107	0	0	0	genic	protein_coding
ENSELUG00000000108	160	2.298484	2.32014330416848	genic	protein_coding
ENSELUG00000000109	357.174	120.673131	121.810270109644	genic	protein_coding
ENSELUG00000000110	11	0.427259	0.43128518971449	genic	protein_coding
ENSELUG00000000111	2	0.022461	0.0226726567402376	genic	protein_coding
ENSELUG00000000112	141	10.284975	10.381893404431	genic	protein_coding
ENSELUG00000000113	28	0.462759	0.467119716862812	genic	protein_coding
ENSELUG00000000114	13	27.965848	28.2293785741356	genic	snoRNA
ENSELUG00000000115	3	0.014666	0.0148042021171063	genic	protein_coding
ENSELUG00000000116	12	0.166921	0.168493946651405	genic	protein_coding
ENSELUG00000000117	7	0.099877	0.100818170929376	genic	protein_coding
ENSELUG00000000121	20	0.611473	0.617235093491978	genic	protein_coding
ENSELUG00000000122	0	0	0	genic	protein_coding
ENSELUG00000000123	144	40.382812	40.7633513504095	genic	protein_coding
ENSELUG00000000124	977	4.858862	4.90464851405478	genic	protein_coding
ENSELUG00000000125	3	0.123085	0.124244866874678	genic	protein_coding
ENSELUG00000000126	4	0.129541	0.130761703699173	genic	protein_coding
ENSELUG00000000127	242	1.789773	1.80663856782624	genic	protein_coding
ENSELUG00000000128	2	0.105943	0.106941332666889	genic	protein_coding
ENSELUG00000000129	238	4.036867	4.07490760861015	genic	protein_coding
ENSELUG00000000130	434	6.528399	6.58991806198791	genic	protein_coding
ENSELUG00000000131	233	4.294475	4.33494312606437	genic	protein_coding
ENSELUG00000000133	83	1.512374	1.52662555384267	genic	protein_coding
ENSELUG00000000135	148.001	2.144633	2.16484252004746	genic	protein_coding
ENSELUG00000000136	0	0	0	genic	protein_coding
ENSELUG00000000138	0	0	0	genic	protein_coding
ENSELUG00000000139	0	0	0	genic	snRNA
ENSELUG00000000140	6	0.681417	0.687838196783869	genic	protein_coding
