libraryId	cellTypeName	cellTypeId	CPM_Threshold	Genic	Genic_region_present	Proportion_genic_present	Protein_coding	Coding_region_present	Proportion_coding_present	Intergenic	Intergenic_region_present	Proportion_intergenic_present	pValue_cutoff	meanRefIntergenic	sdRefIntergenic	species	organism
SRX3815586	Early primary S'cytes	CL:0000656	13.5402495866241	60674	7997	13.1802749118238	19826	7438	37.5163926157571	28574	1647	5.76398124168825	0.05	2.8595126866068	2.57256455538435	9606	Homo sapiens
SRX3815586	endothelial cell	CL:0000115	6.76581746636374	60674	9312	15.3475953456176	19826	8775	44.260062544134	28574	1744	6.10345068943795	0.05	1.71574676762722	2.27120632286839	9606	Homo sapiens
SRX3815586	myoid cell	CL:0002481	9.38339059435736	60674	8981	14.8020568942216	19826	8551	43.1302330273378	28574	1417	4.95905368516833	0.05	2.60286225567984	2.0158767753803	9606	Homo sapiens
SRX3815587	Leydig cell	CL:0000178	7.76486940136739	60674	8917	14.6965751392689	19826	8378	42.2576414808837	28574	1588	5.55749982501575	0.05	2.41051197552103	1.97266632628602	9606	Homo sapiens
SRX3815587	Sperm	CL:0000019	4.45429248018245	60674	8618	14.2037775653492	19826	6503	32.8003631594875	28574	1224	4.28361447469728	0.05	0.892170873783061	2.6487325834685	9606	Homo sapiens
SRX3815588	Elongated S'tids	CL:0000018	7.47904429320155	60674	9842	16.2211161288196	19826	7389	37.2692424089579	28574	1949	6.82088612024918	0.05	1.11759138352631	3.14899675098974	9606	Homo sapiens
SRX3815588	Leydig cell	CL:0000178	6.44314121174868	60674	9534	15.7134851831097	19826	8910	44.9409865832745	28574	1126	3.94064534191923	0.05	2.02863359211693	1.78786273284807	9606	Homo sapiens
SRX3815588	Macrophage	CL:0000235	7.49758671427634	60674	8500	14.0092955796552	19826	7938	40.0383335014627	28574	1157	4.049135577798	0.05	2.79470424372403	1.81185359363794	9606	Homo sapiens
SRX3815588	myoid cell	CL:0002481	5.7889398830171	60674	10812	17.8198239773214	19826	9992	50.3984666599415	28574	1624	5.68348848603626	0.05	1.9287979498494	1.82947490848682	9606	Homo sapiens
SRX3815588	Round S'tids	CL:0000018	8.76236541197214	60674	10176	16.771599037479	19826	7895	39.821446585292	28574	1844	6.4534191922727	0.05	1.55238814095312	2.8445139090311	9606	Homo sapiens
SRX3815588	Sperm	CL:0000019	3.2234503866663	60674	10230	16.8605992682203	19826	7796	39.3221022899223	28574	1202	4.20662140407363	0.05	0.604762377287996	2.63689523706069	9606	Homo sapiens
SRX3815589	Elongated S'tids	CL:0000018	7.46426180880936	60674	9447	15.5700959224709	19826	7034	35.4786643801069	28574	1953	6.83488486036257	0.05	1.05611251719459	3.23792781444412	9606	Homo sapiens
SRX3815589	myoid cell	CL:0002481	5.72973964063073	60674	10344	17.0484886442298	19826	9642	48.6331080399475	28574	1334	4.6685798278155	0.05	1.84521316506518	1.79900009205658	9606	Homo sapiens
