gene_id	sumUMI	CPM	type	biotype	zScore	pValue	calls_pValue	cellTypeName	cellTypeId
ENSMUSG00000000001	88	79.0214983374056	genic	protein_coding	3.28821543008065	0.000504123278607482	present	B-cell	CL:0000236
ENSMUSG00000000003	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000028	1	0.897971572015973	genic	protein_coding	-1.05072168179722	0.853306782524676	absent	B-cell	CL:0000236
ENSMUSG00000000031	0	0	genic	lincRNA	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000037	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000049	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000056	20	17.9594314403195	genic	protein_coding	1.85240901342802	0.0319835559900289	present	B-cell	CL:0000236
ENSMUSG00000000058	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000078	130	116.736304362077	genic	protein_coding	3.66635160206452	0.000123017793681164	present	B-cell	CL:0000236
ENSMUSG00000000085	7	6.28580100411181	genic	protein_coding	0.835038115145794	0.201848124177974	absent	B-cell	CL:0000236
ENSMUSG00000000088	236	211.92129099577	genic	protein_coding	4.24421670997689	1.09679144207021e-05	present	B-cell	CL:0000236
ENSMUSG00000000093	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000094	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000103	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000120	4	3.59188628806389	genic	protein_coding	0.292720703863713	0.384867821667797	absent	B-cell	CL:0000236
ENSMUSG00000000125	3	2.69391471604792	genic	protein_coding	0.013931219778755	0.494442427181194	absent	B-cell	CL:0000236
ENSMUSG00000000126	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000127	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000131	101	90.6951287736133	genic	protein_coding	3.42174007751431	0.00031110882677063	present	B-cell	CL:0000236
ENSMUSG00000000134	15	13.4695735802396	genic	protein_coding	1.57361952934306	0.0577877177815308	absent	B-cell	CL:0000236
ENSMUSG00000000142	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000148	24	21.5513177283834	genic	protein_coding	2.02909479827015	0.0212243178151078	present	B-cell	CL:0000236
ENSMUSG00000000149	4	3.59188628806389	genic	protein_coding	0.292720703863713	0.384867821667797	absent	B-cell	CL:0000236
ENSMUSG00000000154	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000157	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000159	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000167	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000168	23	20.6533461563674	genic	protein_coding	1.98785075116791	0.0234140994389051	present	B-cell	CL:0000236
ENSMUSG00000000171	63	56.5722090370063	genic	protein_coding	2.96434391829774	0.00151664537425972	present	B-cell	CL:0000236
ENSMUSG00000000182	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000183	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000184	85	76.3275836213577	genic	protein_coding	3.25460204314197	0.000567756792248322	present	B-cell	CL:0000236
ENSMUSG00000000194	35	31.4290050205591	genic	protein_coding	2.3947264247101	0.00831638514289249	present	B-cell	CL:0000236
ENSMUSG00000000197	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000202	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000204	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000214	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000215	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000216	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000223	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000244	337	302.616419769383	genic	protein_coding	4.58945569754424	2.22201651102315e-06	present	B-cell	CL:0000236
ENSMUSG00000000247	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000248	3	2.69391471604792	genic	protein_coding	0.013931219778755	0.494442427181194	absent	B-cell	CL:0000236
ENSMUSG00000000253	1	0.897971572015973	genic	protein_coding	-1.05072168179722	0.853306782524676	absent	B-cell	CL:0000236
ENSMUSG00000000263	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000266	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000275	23	20.6533461563674	genic	protein_coding	1.98785075116791	0.0234140994389051	present	B-cell	CL:0000236
ENSMUSG00000000276	36	32.326976592575	genic	protein_coding	2.42202650701565	0.00771711234352879	present	B-cell	CL:0000236
ENSMUSG00000000278	37	33.224948164591	genic	protein_coding	2.44857854695774	0.00717105775093193	present	B-cell	CL:0000236
ENSMUSG00000000282	13	11.6736304362077	genic	protein_coding	1.43494209966975	0.0756517988021642	absent	B-cell	CL:0000236
ENSMUSG00000000290	68	61.0620668970862	genic	protein_coding	3.03835611923859	0.00118936332961621	present	B-cell	CL:0000236
ENSMUSG00000000295	51	45.7965501728146	genic	protein_coding	2.75956663515363	0.00289390411211626	present	B-cell	CL:0000236
ENSMUSG00000000296	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000301	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000303	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000305	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000308	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000317	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000318	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000320	11	9.8776872921757	genic	protein_coding	1.27305185158925	0.101499821424961	absent	B-cell	CL:0000236
ENSMUSG00000000325	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000326	61	54.7762658929744	genic	protein_coding	2.9330802769547	0.00167808550657856	present	B-cell	CL:0000236
ENSMUSG00000000339	10	8.97971572015973	genic	protein_coding	1.18068782059756	0.118863380809489	absent	B-cell	CL:0000236
ENSMUSG00000000340	18	16.1634882962875	genic	protein_coding	1.75030531418519	0.0400328222108551	present	B-cell	CL:0000236
ENSMUSG00000000346	238	213.717234139802	genic	protein_coding	4.25239472335113	1.05748324929656e-05	present	B-cell	CL:0000236
ENSMUSG00000000355	121	108.654560213933	genic	protein_coding	3.59682538497572	0.000161062282680186	present	B-cell	CL:0000236
ENSMUSG00000000359	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000365	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000374	10	8.97971572015973	genic	protein_coding	1.18068782059756	0.118863380809489	absent	B-cell	CL:0000236
ENSMUSG00000000378	209	187.676058551338	genic	protein_coding	4.12647478797693	1.84183183716838e-05	present	B-cell	CL:0000236
ENSMUSG00000000381	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000384	30	26.9391471604792	genic	protein_coding	2.24534072217353	0.012373133848624	present	B-cell	CL:0000236
ENSMUSG00000000385	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000386	2	1.79594314403195	genic	protein_coding	-0.379000488966751	0.647656249629285	absent	B-cell	CL:0000236
ENSMUSG00000000392	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000394	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000399	56	50.2864080328945	genic	protein_coding	2.85020169363719	0.00218457565994552	present	B-cell	CL:0000236
ENSMUSG00000000402	1	0.897971572015973	genic	protein_coding	-1.05072168179722	0.853306782524676	absent	B-cell	CL:0000236
ENSMUSG00000000409	29	26.0411755884632	genic	protein_coding	2.2124871069976	0.0134665130408152	present	B-cell	CL:0000236
ENSMUSG00000000411	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000416	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000420	48	43.1026354567667	genic	protein_coding	2.70081599110061	0.00345847977427103	present	B-cell	CL:0000236
