




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2021-11-16
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	upload_1 (6765)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
mitochondrial ATP synthesis coupled proton transport (GO:0042776)	14	14	4.31	+	3.25	2.59E-03	4.19E-02
ATP synthesis coupled proton transport (GO:0015986)	19	18	5.85	+	3.08	7.92E-04	1.56E-02
energy coupled proton transport, down electrochemical gradient (GO:0015985)	19	18	5.85	+	3.08	7.92E-04	1.56E-02
regulation of DNA strand elongation (GO:0060382)	18	17	5.54	+	3.07	1.14E-03	2.10E-02
histone H4-K8 acetylation (GO:0043982)	16	15	4.92	+	3.05	2.41E-03	3.95E-02
histone H4-K5 acetylation (GO:0043981)	16	15	4.92	+	3.05	2.41E-03	3.95E-02
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	16	15	4.92	+	3.05	2.41E-03	3.95E-02
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	25	23	7.69	+	2.99	2.31E-04	5.34E-03
cytoplasmic translational initiation (GO:0002183)	23	21	7.08	+	2.97	4.92E-04	1.03E-02
establishment of protein localization to mitochondrial membrane (GO:0090151)	23	21	7.08	+	2.97	4.92E-04	1.03E-02
nucleosome mobilization (GO:0042766)	20	18	6.15	+	2.93	1.58E-03	2.73E-02
inner mitochondrial membrane organization (GO:0007007)	29	26	8.92	+	2.91	1.60E-04	3.87E-03
maturation of LSU-rRNA (GO:0000470)	29	26	8.92	+	2.91	1.60E-04	3.87E-03
NADH dehydrogenase complex assembly (GO:0010257)	57	51	17.54	+	2.91	7.42E-08	3.49E-06
mitochondrial respiratory chain complex I assembly (GO:0032981)	57	51	17.54	+	2.91	7.42E-08	3.48E-06
protein insertion into ER membrane (GO:0045048)	24	21	7.38	+	2.84	6.46E-04	1.30E-02
ribosomal small subunit biogenesis (GO:0042274)	71	62	21.84	+	2.84	6.56E-09	3.51E-07
mitochondrial respiratory chain complex assembly (GO:0033108)	92	80	28.31	+	2.83	4.48E-11	3.07E-09
histone H2A acetylation (GO:0043968)	23	20	7.08	+	2.83	9.34E-04	1.78E-02
maturation of 5.8S rRNA (GO:0000460)	35	30	10.77	+	2.79	9.16E-05	2.39E-03
regulation of mRNA 3'-end processing (GO:0031440)	28	24	8.61	+	2.79	4.09E-04	8.73E-03
maturation of SSU-rRNA (GO:0030490)	49	42	15.08	+	2.79	2.51E-06	9.09E-05
ribosomal large subunit biogenesis (GO:0042273)	70	60	21.54	+	2.79	1.67E-08	8.47E-07
ATP synthesis coupled electron transport (GO:0042773)	61	52	18.77	+	2.77	1.59E-07	7.13E-06
oxidative phosphorylation (GO:0006119)	81	69	24.92	+	2.77	1.55E-09	9.05E-08
regulation of telomere maintenance in response to DNA damage (GO:1904505)	20	17	6.15	+	2.76	2.88E-03	4.56E-02
rRNA processing (GO:0006364)	205	174	63.07	+	2.76	9.37E-22	1.22E-19
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	59	50	18.15	+	2.75	3.25E-07	1.40E-05
transcription elongation from RNA polymerase II promoter (GO:0006368)	26	22	8.00	+	2.75	8.81E-04	1.70E-02
regulation of mitochondrial translation (GO:0070129)	26	22	8.00	+	2.75	8.81E-04	1.70E-02
ribosomal large subunit assembly (GO:0000027)	26	22	8.00	+	2.75	8.81E-04	1.70E-02
transcription by RNA polymerase III (GO:0006383)	25	21	7.69	+	2.73	1.30E-03	2.32E-02
