




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2021-11-16
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	upload_1 (8926)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
inner mitochondrial membrane organization (GO:0007007)	29	29	11.77	+	2.46	7.20E-04	1.67E-02
regulation of mitochondrial gene expression (GO:0062125)	31	30	12.58	+	2.38	9.47E-04	2.08E-02
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	27	26	10.96	+	2.37	2.09E-03	4.03E-02
amino acid activation (GO:0043038)	44	42	17.86	+	2.35	1.07E-04	3.09E-03
tRNA aminoacylation (GO:0043039)	43	41	17.46	+	2.35	1.44E-04	4.02E-03
tRNA aminoacylation for protein translation (GO:0006418)	40	38	16.24	+	2.34	2.33E-04	6.14E-03
cytochrome complex assembly (GO:0017004)	34	32	13.80	+	2.32	9.17E-04	2.02E-02
mitochondrial respiratory chain complex assembly (GO:0033108)	92	86	37.35	+	2.30	4.43E-08	2.47E-06
NADH dehydrogenase complex assembly (GO:0010257)	57	53	23.14	+	2.29	1.93E-05	6.71E-04
mitochondrial respiratory chain complex I assembly (GO:0032981)	57	53	23.14	+	2.29	1.93E-05	6.70E-04
maturation of 5.8S rRNA (GO:0000460)	35	32	14.21	+	2.25	1.08E-03	2.30E-02
mitochondrial translation (GO:0032543)	52	47	21.11	+	2.23	8.70E-05	2.58E-03
rRNA modification (GO:0000154)	31	28	12.58	+	2.22	2.40E-03	4.54E-02
ribosomal small subunit biogenesis (GO:0042274)	71	64	28.82	+	2.22	5.74E-06	2.28E-04
mitochondrial RNA metabolic process (GO:0000959)	40	36	16.24	+	2.22	8.31E-04	1.88E-02
histone ubiquitination (GO:0016574)	40	36	16.24	+	2.22	8.31E-04	1.88E-02
rRNA processing (GO:0006364)	205	184	83.22	+	2.21	1.26E-14	1.28E-12
oxidative phosphorylation (GO:0006119)	81	72	32.88	+	2.19	2.40E-06	1.03E-04
rRNA metabolic process (GO:0016072)	215	190	87.28	+	2.18	1.19E-14	1.21E-12
translational elongation (GO:0006414)	34	30	13.80	+	2.17	2.23E-03	4.25E-02
tRNA metabolic process (GO:0006399)	168	148	68.20	+	2.17	1.32E-11	1.07E-09
mitochondrial gene expression (GO:0140053)	84	74	34.10	+	2.17	2.26E-06	9.76E-05
maintenance of protein localization in organelle (GO:0072595)	42	37	17.05	+	2.17	7.12E-04	1.65E-02
histone H4 acetylation (GO:0043967)	58	51	23.55	+	2.17	7.52E-05	2.27E-03
maturation of SSU-rRNA (GO:0030490)	49	43	19.89	+	2.16	3.02E-04	7.80E-03
ribosome biogenesis (GO:0042254)	285	250	115.70	+	2.16	1.61E-18	2.04E-16
histone H3 acetylation (GO:0043966)	57	50	23.14	+	2.16	9.87E-05	2.89E-03
ATP synthesis coupled electron transport (GO:0042773)	61	53	24.76	+	2.14	6.95E-05	2.13E-03
ribonucleoprotein complex biogenesis (GO:0022613)	400	347	162.38	+	2.14	9.55E-25	1.93E-22
mitochondrial membrane organization (GO:0007006)	105	91	42.62	+	2.13	1.97E-07	1.00E-05
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	59	51	23.95	+	2.13	1.21E-04	3.41E-03
ncRNA processing (GO:0034470)	351	303	142.49	+	2.13	1.43E-21	2.23E-19
establishment of protein localization to mitochondrion (GO:0072655)	73	63	29.63	+	2.13	1.61E-05	5.73E-04
protein localization to mitochondrion (GO:0070585)	80	69	32.48	+	2.12	6.98E-06	2.73E-04
tRNA modification (GO:0006400)	78	67	31.66	+	2.12	1.23E-05	4.49E-04
RNA methylation (GO:0001510)	70	60	28.42	+	2.11	3.71E-05	1.20E-03
histone acetylation (GO:0016573)	112	96	45.47	+	2.11	1.28E-07	6.73E-06
ribosomal large subunit biogenesis (GO:0042273)	70	60	28.42	+	2.11	3.71E-05	1.19E-03
protein monoubiquitination (GO:0006513)	76	65	30.85	+	2.11	1.48E-05	5.32E-04
ribosome assembly (GO:0042255)	62	53	25.17	+	2.11	1.12E-04	3.20E-03
aerobic respiration (GO:0009060)	122	104	49.53	+	2.10	5.17E-08	2.83E-06
autophagy of mitochondrion (GO:0000422)	47	40	19.08	+	2.10	7.95E-04	1.82E-02
mitochondrion disassembly (GO:0061726)	47	40	19.08	+	2.10	7.95E-04	1.82E-02
mRNA 3'-end processing (GO:0031124)	46	39	18.67	+	2.09	1.06E-03	2.27E-02
tRNA processing (GO:0008033)	118	100	47.90	+	2.09	1.08E-07	5.71E-06
respiratory electron transport chain (GO:0022904)	84	71	34.10	+	2.08	7.38E-06	2.86E-04
ribonucleoprotein complex subunit organization (GO:0071826)	174	147	70.64	+	2.08	1.13E-10	8.68E-09
ribonucleoprotein complex assembly (GO:0022618)	167	141	67.79	+	2.08	3.63E-10	2.60E-08
autophagosome organization (GO:1905037)	77	65	31.26	+	2.08	2.36E-05	8.01E-04
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	107	90	43.44	+	2.07	5.25E-07	2.52E-05
cytoplasmic translation (GO:0002181)	69	58	28.01	+	2.07	7.14E-05	2.18E-03
autophagosome assembly (GO:0000045)	69	58	28.01	+	2.07	7.14E-05	2.18E-03
aerobic electron transport chain (GO:0019646)	50	42	20.30	+	2.07	7.28E-04	1.68E-02
protein targeting to mitochondrion (GO:0006626)	56	47	22.73	+	2.07	2.95E-04	7.66E-03
RNA modification (GO:0009451)	143	120	58.05	+	2.07	9.46E-09	5.78E-07
peptidyl-lysine acetylation (GO:0018394)	124	104	50.34	+	2.07	9.09E-08	4.86E-06
response to amino acid starvation (GO:1990928)	49	41	19.89	+	2.06	9.68E-04	2.12E-02
DNA geometric change (GO:0032392)	49	41	19.89	+	2.06	9.68E-04	2.12E-02
organelle disassembly (GO:1903008)	79	66	32.07	+	2.06	2.03E-05	7.00E-04
