chr	start	end	markName
GeneScaffold_1	105581	110336	Ref. Intergenic
GeneScaffold_1	287081	291219	Ref. Intergenic
GeneScaffold_1	292201	298267	Ref. Intergenic
GeneScaffold_1	301833	304489	Ref. Intergenic
GeneScaffold_1	305975	307080	Ref. Intergenic
GeneScaffold_1	405382	407960	Ref. Intergenic
GeneScaffold_1	442993	445365	Ref. Intergenic
GeneScaffold_1	449595	452018	Ref. Intergenic
GeneScaffold_1	497262	498582	Ref. Intergenic
GeneScaffold_1	501045	505538	Ref. Intergenic
GeneScaffold_1	506464	509412	Ref. Intergenic
GeneScaffold_1	553205	560000	Ref. Intergenic
GeneScaffold_1	561274	563466	Ref. Intergenic
GeneScaffold_1	91721	96802	Ref. Intergenic
GeneScaffold_1	99252	101869	Ref. Intergenic
GeneScaffold_1001	107826	109475	Ref. Intergenic
GeneScaffold_1001	3363	6746	Ref. Intergenic
GeneScaffold_1001	502	2413	Ref. Intergenic
GeneScaffold_1001	6821	9308	Ref. Intergenic
GeneScaffold_1001	73009	75451	Ref. Intergenic
GeneScaffold_1001	76110	78115	Ref. Intergenic
GeneScaffold_1001	99605	101859	Ref. Intergenic
GeneScaffold_1001	9970	11795	Ref. Intergenic
GeneScaffold_1003	11499	14907	Ref. Intergenic
GeneScaffold_1003	15169	31498	Ref. Intergenic
GeneScaffold_1003	57085	59768	Ref. Intergenic
GeneScaffold_1003	63697	66965	Ref. Intergenic
GeneScaffold_1003	69502	72155	Ref. Intergenic
GeneScaffold_1003	72270	77084	Ref. Intergenic
GeneScaffold_1004	28222	32599	Ref. Intergenic
GeneScaffold_1004	4635	6000	Ref. Intergenic
GeneScaffold_1004	502	3552	Ref. Intergenic
GeneScaffold_1007	2187	3792	Ref. Intergenic
GeneScaffold_1007	47704	48710	Ref. Intergenic
GeneScaffold_1007	5750	9276	Ref. Intergenic
GeneScaffold_1007	611	1621	Ref. Intergenic
GeneScaffold_1009	146445	151821	Ref. Intergenic
GeneScaffold_1009	202091	203904	Ref. Intergenic
GeneScaffold_1009	245594	246963	Ref. Intergenic
GeneScaffold_1009	304289	305758	Ref. Intergenic
GeneScaffold_1009	306569	308404	Ref. Intergenic
GeneScaffold_1009	309621	315020	Ref. Intergenic
GeneScaffold_1009	31051	35673	Ref. Intergenic
GeneScaffold_1009	317762	319389	Ref. Intergenic
GeneScaffold_1009	362995	371459	Ref. Intergenic
GeneScaffold_1009	377596	381133	Ref. Intergenic
GeneScaffold_1009	382170	384816	Ref. Intergenic
GeneScaffold_1009	38472	43319	Ref. Intergenic
GeneScaffold_1009	386895	388289	Ref. Intergenic
GeneScaffold_1009	391111	393148	Ref. Intergenic
GeneScaffold_1009	398094	399251	Ref. Intergenic
GeneScaffold_1009	399505	402187	Ref. Intergenic
GeneScaffold_1009	405236	408454	Ref. Intergenic
GeneScaffold_1009	409946	412124	Ref. Intergenic
GeneScaffold_1009	43681	51050	Ref. Intergenic
GeneScaffold_1009	494885	496353	Ref. Intergenic
GeneScaffold_1009	496801	497882	Ref. Intergenic
GeneScaffold_1009	498383	501151	Ref. Intergenic
GeneScaffold_1009	505153	508661	Ref. Intergenic
GeneScaffold_1009	509118	510331	Ref. Intergenic
GeneScaffold_1009	511819	513987	Ref. Intergenic
GeneScaffold_1009	558847	561323	Ref. Intergenic
GeneScaffold_1009	562106	563553	Ref. Intergenic
GeneScaffold_1009	563826	567336	Ref. Intergenic
GeneScaffold_1009	625038	627359	Ref. Intergenic
GeneScaffold_1009	88123	90544	Ref. Intergenic
GeneScaffold_101	28756	32431	Ref. Intergenic
GeneScaffold_101	2983	5883	Ref. Intergenic
GeneScaffold_101	33351	34707	Ref. Intergenic
GeneScaffold_1013	114026	115464	Ref. Intergenic
GeneScaffold_1013	118663	119989	Ref. Intergenic
GeneScaffold_1013	121815	123176	Ref. Intergenic
GeneScaffold_1013	132047	133212	Ref. Intergenic
GeneScaffold_1013	159263	160391	Ref. Intergenic
GeneScaffold_1013	160733	163031	Ref. Intergenic
GeneScaffold_1013	166305	168120	Ref. Intergenic
GeneScaffold_1013	175736	177839	Ref. Intergenic
GeneScaffold_1013	38777	41180	Ref. Intergenic
GeneScaffold_1013	42785	45794	Ref. Intergenic
GeneScaffold_1013	49620	51255	Ref. Intergenic
GeneScaffold_1013	52844	58105	Ref. Intergenic
GeneScaffold_1013	58989	60208	Ref. Intergenic
